conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,u_strength,c_strength,i_strength,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Battle of Richmond,Madison County,KY,37.6848,-84.2594,1862,8,29,1862,8,30,1,2,6850,6500,,844,4303,206,5353,372,1,78,451,,,,,,,,
Battle of Ringgold Gap,Catoosa County,GA,34.9112,-85.1015,1863,11,27,1863,11,27,1,2,16000,4200,,,,,509,201,,20,221,,,,,,,,
Battle of Rivers' Bridge,Bamberg County,SC,33.052778,-81.099722,1865,2,3,1865,2,3,1,1,5000,1200,,106,,18,124,44,45,8,97,,,,,,,,
Battle of Roan's Tan Yard,Randolph County,MO,39.3246,-92.5584,1862,1,8,1862,1,8,1,1,450,800,,19,,6,25,80,28,40,148,,,,,,,,
Battle of Roanoke Island,Roanoke Island and Croatan Sound,NC,35.8783,-75.6678,1862,2,7,1862,2,8,1,1,10000,3000,,214,13,37,264,58,2500,23,2581,,,,,,,,
Battle of Rocky Face Ridge,Whitfield County,GA,34.74105,-85.01568,1864,5,7,1864,5,13,1,1,,,,,,,837,,,,600,,,,,,,,
Battle of Round Mountain,Keystone,OK,36.13,-96.286944,1861,11,19,1861,11,19,3,2,,1400,,,,,,4,1,6,11,,,,110,,,,
Battle of Rowlett's Station,Hart County,KY,37.2498,-85.8935,1861,12,17,1861,12,17,1,4,500,1350,,,,,40,,,,91,,,,,,,,
Battle of Rutherford's Farm,Frederick County,VA,39.219333,-78.133333,1864,7,20,1864,7,20,1,1,2350,3300,,184,,36,220,,,200,450,,,,,,,,
Battle of Sailor's Creek,Amelia County,VA,37.30551,-78.22797,1865,4,6,1865,4,6,1,1,26000,18500,,,,,1148,,7700,,7700+,,,,,,,,
Battle of Saint Charles,Arkansas County,AR,34.3715467,-91.126083,1862,6,17,1862,6,17,1,1,8 Union ships,Several Confederate batteries,,,,,177,,,,26,,,,,,,,
Battle of Saint John's Bluff,Duval County,FL,30.3852,-81.4998,1862,10,1,1862,10,3,1,1,1573,100,,,,,0,,,,0,,,,,,,,
Battle of Saint Mary's Church (Samaria Church),Charles City,VA,37.4322,-77.1506,1864,6,24,1864,6,24,1,4,2147,4000,,,,,350,,,,250,,,,,,,,
Battle of Salem Church,Spotsylvania County,VA,38.288861,-77.530944,1863,5,3,1863,5,4,1,2,23000,10000,,,,,4611,,,,4935,,,,,,,,
Battle of Salineville,Carroll County,OH,40.620556,-80.901667,1863,7,26,1863,7,26,1,1,2600,800,,,,,0,,,,364,,,,,,,,
Battle of Salyersville,Salyersville,KY,37.744722,-83.080833,1864,4,13,1864,4,14,1,1,3200,1000,,,,,,,50,24,74,,,,,,,,
Battle of Santa Rosa Island,Santa Rosa Island,FL,30.3242,-87.2817,1861,10,9,1861,10,9,1,1,600,1200,,29,24,14,67,,,30-40,87,,,,,,,,
Battle of Sappony Church,Sussex County,VA,36.945889,-77.453056,1864,6,28,1864,6,28,1,2,4000,5000,,,,,,,,,,,,,,,,,
Battle of Savage's Station,Henrico County,VA,37.52219,-77.27097,1862,6,29,1862,6,29,1,4,26600,14000,,,,,1038,,,,473,,,,,,,,
Battle of Secessionville,Charleston,SC,32.703889,-79.948056,1862,6,16,1862,6,16,1,2,6600,2000,,,,,685,,,,204,,,,,,,,
Battle of Selma,Selma,AL,32.424,-87.0237,1865,4,2,1865,4,2,1,1,9000,4000,,,,,359,,,,2700,,,,,,,,
Battle of Seven Pines,Henrico County,VA,37.5209,-77.3042,1862,5,31,1862,6,1,1,4,34000,39000,,3594,647,790,5031,4749,405,980,6134,,,,,,,,
