conflict,city,state,latitude,longitude,start_year,start_month,start_day,end_year,end_month,end_day,combatants,result,u_strength,c_strength,i_strength,uc_wounded,uc_captured,uc_killed,uc_total,cc_wounded,cc_captured,cc_killed,cc_total,ic_wounded,ic_captured,ic_killed,ic_total,a_wounded,a_captured,a_killed,a_total
Second Battle of Deep Bottom,Henrico County,VA,37.4438,-77.2844,1864,8,14,1864,8,20,1,2,28000,20000,,1851,721,327,2899,900,400,200,1500,,,,,,,,
Second Battle of Donaldsonville,Ascension Parish,LA,30.108333,-90.991389,1863,6,28,1863,6,28,1,1,2 companies 2 gunboats,5200,,,,,23,,,,301,,,,,,,,
Second Battle of Dragoon Springs,Cochise County,AZ,31.883333,-109.983333,1862,5,9,1862,5,9,3,2,,,,,,,,,,,0,,,5,5,,,,
Second Battle of Fort Fisher,New Hanover County,NC,33.9715,-77.918,1865,1,13,1865,1,15,1,1,Army: 9632 Navy: 58 ships; 2261 (sailors/marines),1900 (Fort Fisher) 6400 (Hoke's Division),,811,47,199,1057,,,583,1900,,,,,,,,
Second Battle of Fort Sumter,Charleston,SC,32.7524,-79.8749,1863,9,7,1863,9,8,1,2,413,320,,,,,117,,,9,9,,,,,,,,
Second Battle of Fort Wagner,Morris Island,SC,32.73,-79.871111,1863,7,18,1863,7,18,1,2,5000 troops 6 Ironclads,1800 troops,,880,389,246,1515,133,5,36,174,,,,,,,,
Second Battle of Fredericksburg,Fredericksburg,VA,38.29575,-77.46844,1863,5,3,1863,5,3,1,1,27100,12000,,,,,1100,,,,700,,,,,,,,
Second Battle of Funkstown,Funkstown,MD,39.60592,-77.700462,1863,7,10,1863,7,10,1,2,1 cavalry division 1 infantry brigade,1 cavalry division 1 infantry brigade,,,,,,,,,,,,,,,,,479
Second Battle of Independence,Independence,MO,39.0856,-94.4412,1864,10,21,1864,10,22,1,2,22000,8500,,,,,0,,,,140,,,,,,,,
Second Battle of Kernstown,Frederick County,VA,39.13951,-78.1953,1864,7,24,1864,7,24,1,2,10000,14000,,,,,1200,,,,600,,,,,,,,
Second Battle of Lexington,Lexington,MO,39.183056,-93.875,1864,10,19,1864,10,19,1,2,2000,8500,,,,,,,,,,,,,,,,,
Second Battle of Memphis,Memphis,TN,35.1446,-90.054,1864,8,21,1864,8,21,1,2,,400,,,,,160,,,,34,,,,,,,,
Second Battle of New Ulm,New Ulm,MN,44.313333,-94.461389,1862,8,23,1862,8,23,2,3,300,,650,,,,34,,,,,,,,,,,,
Second Battle of Newtonia,Newton County,MO,36.8739,-94.1903,1864,10,28,1864,10,28,1,1,,,,,,,400,,,,250,,,,,,,,
Second Battle of Petersburg,Petersburg,VA,37.2211,-77.3782,1864,6,15,1864,6,18,1,1,62000,38000,,8513,1185,1688,11386,2900,900,200,4000,,,,,,,,
Second Battle of Pocotaligo,Yemassee,SC,32.636944,-80.863333,1862,10,22,1862,10,22,1,2,4500,2000,,294,3,43,340,124,18,21,163,,,,,,,,
Second Battle of Rappahannock Station,Culpeper County,VA,38.533,-77.8136,1863,11,7,1863,11,7,1,1,2000,2000,,,,,419,,1600,,1670,,,,,,,,
Second Battle of Ream's Station,Dinwiddie County,VA,37.0959,-77.4226,1864,8,25,1864,8,25,1,2,9000,10000,,529,2073,140,2747,,,,814,,,,,,,,
Second Battle of Sabine Pass,Jefferson County,TX,29.720514,-93.870747,1863,9,8,1863,9,8,1,2,5000,36,,,,200,200,,,,0,,,,,,,,
Second Battle of Saltville,Saltville,VA,36.8646,-81.7674,1864,12,20,1864,12,21,1,1,4500,2800,,,,,,,,,,,,,,,,,
Second Battle of Winchester,Frederick County,VA,39.18473,-78.16708,1863,6,13,1863,6,15,1,2,7000,12500,,348,4000,95,4443,219,3,47,269,,,,,,,,
Siege of Corinth,Corinth,MS,34.934,-88.522,1862,4,29,1862,5,30,1,1,120000,65000,,,,,1000,,,,1000,,,,,,,,
Siege of Fort Macon,Carteret County,NC,34.696111,-76.678889,1862,3,23,1862,4,26,1,1,3259,450,,5,8,2,15,16,400,8,424,,,,,,,,
Siege of Port Hudson,East Baton Rouge Parish and East Feliciana Parish,LA,30.693889,-91.276389,1863,5,22,1863,7,9,1,1,40000,7500,,,,5000,10000,,,750,1000,,,,,,,,
Siege of Tubac,Tubac,AZ,31.625556,-111.051944,1861,8,1,1861,8,1,3,4,,25,200,,,,,,,,,,,,,,,,
Siege of Vicksburg,Warren County,MS,32.3436,-90.8511,1863,5,18,1863,7,4,1,1,77000,33000,,3793,276,766,4835,,,3202,32697,,,,,,,,
Siege of Yorktown (1862),York County,VA,37.184,-76.534,1862,4,5,1862,5,4,1,4,121500,35000,,,,,182,,,,300,,,,,,,,
Skirmish at Blackwater Creek,Johnson County,MO,38.75,-93.81,1861,12,19,1861,12,19,1,1,4000,750,,8,,2,10,,684,,684+,,,,,,,,
Skirmish at Island Mound,Bates County,MO,38.26,-94.34,1862,10,29,1862,10,29,1,1,250,350,,11,,8,19,,,30-40,30+-40+,,,,,,,,
Skirmish of Sporting Hill,Camp Hill,PA,40.241111,-76.926111,1863,6,30,1863,6,30,1,4,Elements of Pennsylvania and New York state militia,Elements of the 16th Virginia Cavalry Regiment,,11,,,11,30,,16,46,,,,,,,,
St. Albans Raid,St. Albans,VT,44.81028,-73.15222,1864,10,19,1864,10,19,1,2,local police and militia,21,,2,,1,3,1,,,1,,,,,,,,
Third Battle of Murfreesboro,Murfreesboro,TN,35.8689,-86.4593,1864,12,5,1864,12,7,1,1,8000,7000,,,,,225,,,,197,,,,,,,,
Third Battle of Petersburg,Dinwiddie County,VA,37.1776,-77.4774,1865,4,2,1865,4,2,1,1,114335,45000,,,,,3936,,,,5000,,,,,,,,
Third Battle of Winchester,Frederick County,VA,39.1956,-78.1325,1864,9,19,1864,9,19,1,1,40000,12000,,,,,5020,,,,3610,,,,,,,,
Yazoo Pass Expedition,,MS,34.411667,-90.565,1863,2,3,1863,4,12,1,2,8 gunboats 1 mortar raft,2000,,,,,,,,,,,,,,,,,
