name,first_name,last_name,birth_city,birth_state,birth_country,death_city,death_state,death_country,year_start,year_end,birth_year,birth_month,birth_day,death_year,death_month,death_day
Nate 2. Jones,Nate,2,Texarkana,TX,USA,,,,1962,1962,1985,12,30,,,
Charles A. Johnson,Charles,A.,Baltimore,MD,USA,,,,1977,1977,1957,6,29,,,
Charlie A. Smith,Charlie,A.,Monroe,LA,USA,,,,1982,1982,1950,7,26,,,
Chuck A. Taylor,Chuck,A.,Portland,OR,USA,Stanford,CA,,1995,1999,1920,1,24,1994,5,7
Corey A. Harris,Corey,A.,Jacksonville,FL,USA,,,,2006,2013,1976,11,28,,,
Dave A. Smith,Dave,A.,Hammond,IN,USA,,,,1982,1982,1964,12,12,,,
Gary A. Anderson,Gary,A.,Fairfield,CA,USA,,,,1952,1954,1955,9,22,,,
Gene A. Washington,Gene,A.,Tuscaloosa,AL,USA,,,,1981,1981,1947,1,14,,,
James A. Jones,James,A.,Davenport,IA,USA,,,,1962,1962,1969,2,6,,,
Jeff A. Smith,Jeff,A.,Milan,TN,USA,,,,1982,1982,1962,12,28,,,
Jim A. McDonald,Jim,A.,Springfield,OH,USA,Knoxville,TN,,1938,1938,1915,6,9,1997,5,1
Jim A. Norton,Jim,A.,Wilmington,NC,USA,,,,1921,1921,1942,11,18,,,
Kevin A. Smith,Kevin,A.,Newport,RI,USA,,,,1982,1982,1967,4,2,,,
Mark A. Campbell,Mark,A.,,,,,,,2006,2012,1972,9,12,,,
Mark A. Carrier,Mark,A.,Lake Charles,LA,USA,,,,1937,1938,1968,4,28,,,
Michael A. Brooks,Michael,A.,Greensboro,NC,USA,,,,1920,1920,1967,3,12,,,
Mike A. Jones,Mike,A.,Chattanooga,TN,USA,,,,1962,1962,1960,4,14,,,
Mike A. Williams,Mike,A.,New Kingston,PA,USA,,,,2012,2013,1957,10,14,,,
Ray A. Brown,Ray,A.,Bronx,NY,USA,,,,1920,1920,1965,7,25,,,
Reggie A. Brown,Reggie,A.,Miami,FL,USA,,,,1920,1920,1970,5,5,,,
Robert A. Williams,Robert,A.,Chicago,IL,USA,,,,2012,2013,1962,9,26,,,
Ron A. Johnson,Ron,A.,Detroit,MI,USA,,,,1977,1977,1947,10,17,,,
Steve A. Wilson,Steve,A.,Fort Sill,OK,USA,,,,2012,2013,1954,5,19,,,
Tim A. Harris,Tim,A.,Compton,CA,USA,,,,2006,2013,1961,6,15,,,
Tony A. Jones,Tony,A.,Tampa,FL,USA,,,,1962,1962,1972,2,16,,,
Troy A. Johnson,Troy,A.,Houston,TX,USA,,,,1977,1977,1964,11,10,,,
Isaako Aaitui,Isaako,Aaitui,,,,,,,2013,2013,1987,1,25,,,
Faye Abbott,Faye,Abbott,Clearport,OH,USA,Dayton,OH,,1921,1929,1895,8,16,1965,1,22
Vince Abbott,Vince,Abbott,London,,England,,,,1921,1929,1958,5,31,,,
Duke Abbruzzi,Duke,Abbruzzi,Warren,RI,USA,Newport,RI,,1921,1929,1917,8,3,1982,12,6
Karim Abdul-Jabbar,Karim,Abdul-Jabbar,Los Angeles,CA,USA,,,,1996,2000,1974,6,28,,,
Isa Abdul-Quddus,Isa,Abdul-Quddus,,,,,,,1996,2000,1989,8,3,,,
Hamza Abdullah,Hamza,Abdullah,Los Angeles,CA,USA,,,,1996,2000,1983,8,20,,,
Husain Abdullah,Husain,Abdullah,Los Angeles,CA,USA,,,,1996,2000,1985,7,27,,,
Khalid Abdullah,Khalid,Abdullah,Jacksonville,FL,USA,,,,1996,2000,1979,3,6,,,
Rabih Abdullah,Rabih,Abdullah,Martinsville,VA,USA,,,,1996,2000,1975,4,27,,,
Rahim Abdullah,Rahim,Abdullah,Jacksonville,FL,USA,,,,1996,2000,1976,3,22,,,
Fred Abel,Fred,Abel,Lincoln,NE,USA,Port Townsend,WA,,1926,1926,1903,7,17,1980,8,2
Bud Abell,Bud,Abell,Kansas City,MO,USA,,,,1926,1926,1940,12,21,,,
Walter Abercrombie,Walter,Abercrombie,Waco,TX,USA,,,,1926,1926,1959,9,26,,,
Cliff Aberson,Cliff,Aberson,Chicago,IL,USA,Vallejo,CA,,1926,1926,1921,8,28,1973,6,23
Victor Abiamiri,Victor,Abiamiri,Baltimore,MD,USA,,,,2007,2011,1986,1,14,,,
Oday Aboushi,Oday,Aboushi,,,,,,,2013,2013,1991,6,5,,,
Clifton Abraham,Clifton,Abraham,Dallas,TX,USA,,,,1995,1997,1971,12,9,,,
Donnie Abraham,Donnie,Abraham,Orangeburg,SC,USA,,,,1995,1997,1973,10,8,,,
John Abraham,John,Abraham,Timmonsville,SC,USA,,,,1995,1997,1978,5,6,,,
Robert Abraham,Robert,Abraham,Myrtle Beach,SC,USA,,,,1995,1997,1960,7,13,,,
Danny Abramowicz,Danny,Abramowicz,Steubenville,OH,USA,,,,1995,1997,1945,7,13,,,
Sid Abramowitz,Sid,Abramowitz,Culver City,CA,USA,,,,1995,1997,1960,5,21,,,
Bobby Abrams,Bobby,Abrams,Detroit,MI,USA,,,,1995,1997,1967,4,12,,,
Kevin Abrams,Kevin,Abrams,Tampa,FL,USA,,,,1995,1997,1974,2,28,,,
Nate Abrams,Nate,Abrams,Green Bay,WI,USA,Green Bay,WI,,1995,1997,1897,12,25,1941,4,30
George Abramson,George,Abramson,Eveleth,MN,USA,Beverly Hills,CA,,1995,1997,1903,5,13,1985,3,15
Dick Abrell,Dick,Abrell,Linton,IN,USA,West Orange,NJ,,1995,1997,1892,5,18,1973,5,5
Ray Abruzzese,Ray,Abruzzese,Philadelphia,PA,USA,Fort Lauderdale,FL,,1995,1997,1937,10,27,2011,8,22
Frank Abruzzino,Frank,Abruzzino,Shinnston,WV,USA,Dade County,FL,,1995,1997,1908,1,22,1986,6,13
Dick Absher,Dick,Absher,Washington,DC,USA,,,,1967,1972,1944,4,19,,,
Steve Ache,Steve,Ache,Syracuse,NY,USA,,,,1987,1987,1962,3,16,,,
George Achica,George,Achica,,,,,,,1987,1987,1960,12,19,,,
Sneeze Achiu,Sneeze,Achiu,Honolulu,HI,USA,Eugene,OR,,1987,1987,1902,8,3,1989,3,21
Emmanuel Acho,Emmanuel,Acho,,,,,,,1987,1987,1990,11,10,,,
Sam Acho,Sam,Acho,,,,,,,1987,1987,1988,9,6,,,
Bill Acker,Bill,Acker,Freer,TX,USA,,,,1980,1987,1956,11,7,,,
Rick Ackerman,Rick,Ackerman,La Grange,IL,USA,,,,1980,1987,1959,6,16,,,
Tom Ackerman,Tom,Ackerman,Bellingham,WA,USA,,,,1980,1987,1972,9,6,,,
Ron Acks,Ron,Acks,Herrin,IL,USA,,,,1980,1987,1944,10,3,,,
Fred Acorn,Fred,Acorn,Rotan,TX,USA,,,,1984,1984,1961,3,17,,,
Ed Adamchik,Ed,Adamchik,Johnstown,PA,USA,,,,1965,1965,1941,11,2,,,
Mike Adamle,Mike,Adamle,Kent,OH,USA,,,,1965,1965,1949,10,4,,,
Tony Adamle,Tony,Adamle,Fairmont,WV,USA,Kent,OH,,1965,1965,1924,5,15,2000,10,7
Anthony Adams,Anthony,Adams,Detroit,MI,USA,,,,1965,1965,1980,6,18,,,
Bill Adams,Bill,Adams,Lynn,MA,USA,,,,1965,1965,1950,2,4,,,
Blue Adams,Blue,Adams,Miami,FL,USA,,,,1965,1965,1979,10,15,,,
Bob Adams,Bob,Adams,Stockton,CA,USA,,,,1965,1965,1946,8,15,,,
Brent Adams,Brent,Adams,Elberton,GA,USA,,,,1965,1965,1952,6,26,,,
Charlie Adams,Charlie,Adams,Camp Hill,PA,USA,,,,1965,1965,1979,10,23,,,
Chet Adams,Chet,Adams,Cleveland,OH,USA,Cleveland,OH,,1965,1965,1915,10,24,1990,10,28
Curtis Adams,Curtis,Adams,Muskegon,MI,USA,,,,1965,1965,1962,4,30,,,
Darvin Adams,Darvin,Adams,,,,,,,1965,1965,1990,1,5,,,
David Adams,David,Adams,Tucson,AZ,USA,,,,1965,1965,1964,6,24,,,
Doug Adams,Doug,Adams,Xenia,OH,USA,Macon,OH,,1965,1965,1949,11,3,1997,8,9
Earnest Adams,Earnest,Adams,Fort Lauderdale,FL,USA,,,,1965,1965,1959,3,12,,,
Flozell Adams,Flozell,Adams,Bellwood,FL,USA,,,,1965,1965,1975,5,18,,,
Gaines Adams,Gaines,Adams,Greenwood,SC,USA,Greenwood,SC,,1965,1965,1983,6,8,2010,1,17
George Adams,George,Adams,Lexington,KY,USA,,,,1965,1965,1962,12,22,,,
Henry Adams,Henry,Adams,California,PA,USA,,,,1965,1965,1915,12,24,2005,10,18
Jamar Adams,Jamar,Adams,Matthews,NC,USA,,,,1965,1965,1985,11,29,,,
Jeff Adams,Jeff,Adams,,,,,,,1965,1965,1989,9,6,,,
Joe Adams,Joe,Adams,,,,,,,1965,1965,1989,11,22,,,
John Adams,John,Adams,Charleston,AR,USA,Bethesda,MD,,1965,1965,1921,9,22,1969,8,20
John Adams,John,Adams,San Diego,CA,USA,Helendale,CA,,1965,1965,1937,11,28,1995,8,8
Johnny Adams,Johnny,Adams,,,,,,,1965,1965,1989,6,9,,,
Julius Adams,Julius,Adams,Macon,GA,USA,,,,1965,1965,1948,4,26,2016,3,24
Keith Adams,Keith,Adams,Norwood,MA,USA,,,,1965,1965,1979,11,22,,,
Kendrick Adams,Kendrick,Adams,,,,,,,1965,1965,1988,11,3,,,
Kris Adams,Kris,Adams,,,,,,,1965,1965,1987,9,4,,,
Kyle Adams,Kyle,Adams,,,,,,,1965,1965,1988,1,19,,,
Michael Adams,Michael,Adams,Dallas,TX,USA,,,,1965,1965,1985,6,17,,,
Michael Adams,Michael,Adams,Shelby,MS,USA,,,,1965,1965,1964,4,5,,,
Mike Adams,Mike,Adams,Dallas,TX,USA,,,,1965,1965,1974,3,25,,,
Mike Adams,Mike,Adams,Paterson,NJ,USA,,,,1965,1965,1981,3,24,,,
Mike Adams,Mike,Adams,,,,,,,1965,1965,1990,3,10,,,
Neal Adams,Neal,Adams,El Paso,AR,USA,Sand Springs,OK,,1965,1965,1919,1,21,1998,10,27
Pete Adams,Pete,Adams,San Diego,CA,USA,,,,1965,1965,1951,5,4,,,
Phillip Adams,Phillip,Adams,Rock Hill,SC,USA,,,,1965,1965,1988,7,20,,,
Sam Adams,Sam,Adams,Houston,TX,USA,,,,1965,1965,1973,6,13,,,
Sam Adams,Sam,Adams,Jasper,TX,USA,,,,1965,1965,1948,9,20,2015,10,10
Scott Adams,Scott,Adams,Lake City,FL,USA,,,,1965,1965,1966,9,28,2013,9,16
Stan Adams,Stan,Adams,Marion,AR,USA,,,,1965,1965,1960,5,22,,,
Stefon Adams,Stefon,Adams,High Point,NC,USA,,,,1965,1965,1963,8,11,,,
Theo Adams,Theo,Adams,San Francisco,CA,USA,,,,1965,1965,1966,4,24,,,
Titus Adams,Titus,Adams,Omaha,NE,USA,,,,1965,1965,1983,1,28,,,
Tom Adams,Tom,Adams,Keewatin,MN,USA,,,,1965,1965,1940,4,26,,,
Tony Adams,Tony,Adams,San Antonio,TX,USA,,,,1965,1965,1950,3,9,,,
Vashone Adams,Vashone,Adams,Aurora,CO,USA,,,,1965,1965,1973,9,12,,,
Verlin Adams,Verlin,Adams,Burnwell,KY,USA,Charleston,WV,,1965,1965,1918,7,14,1985,4,30
Willie Adams,Willie,Adams,Corpus Christi,TX,USA,,,,1965,1965,1941,12,12,,,
Willis Adams,Willis,Adams,Weimar,TX,USA,,,,1965,1965,1956,8,22,,,
Ken Adamson,Ken,Adamson,Phoenix,AZ,USA,,,,1965,1965,1938,10,12,,,
Levy Adcock,Levy,Adcock,,,,,,,2012,2012,1988,11,12,,,
Jahleel Addae,Jahleel,Addae,,,,,,,2013,2013,1990,1,24,,,
Joseph Addai,Joseph,Addai,Houston,TX,USA,,,,2013,2013,1983,5,3,,,
Abe Addams,Abe,Addams,Louisville,KY,USA,,,,2013,2013,1926,7,12,,,
Herb Adderley,Herb,Adderley,Philadelphia,PA,USA,,,,2013,2013,1939,6,8,,,
Mario Addison,Mario,Addison,,,,,,,2013,2013,1989,11,30,,,
Tom Addison,Tom,Addison,Lancaster,SC,USA,Bluffton,SC,,2013,2013,1936,4,12,2011,6,14
Nick Adduci,Nick,Adduci,Chicago,IL,USA,Chicago,IL,,2013,2013,1929,7,12,2005,11,4
Victor Adeyanju,Victor,Adeyanju,,,,,,,2006,2009,1983,2,11,,,
Xavier Adibi,Xavier,Adibi,Stillwater,OK,USA,,,,2008,2012,1984,10,18,,,
John Adickes,John,Adickes,Queens,NY,USA,,,,2008,2012,1964,6,29,,,
Mark Adickes,Mark,Adickes,Badconstadt,,Germany,,,,2008,2012,1961,4,22,,,
Bob Adkins,Bob,Adkins,Letart,WV,USA,Pleasant Valley,WV,,1940,1945,1917,2,17,1997,12,6
Kevin Adkins,Kevin,Adkins,Midwest City,OK,USA,,,,1940,1945,1965,8,27,,,
Margene Adkins,Margene,Adkins,Fort Worth,TX,USA,,,,1940,1945,1947,4,30,,,
Roy Adkins,Roy,Adkins,Bement,IL,USA,Montclair,NJ,,1940,1945,1898,10,5,1975,2,10
Sam Adkins,Sam,Adkins,Van Nuys,CA,USA,,,,1940,1945,1955,5,21,,,
Spencer Adkins,Spencer,Adkins,Naples,FL,USA,,,,1940,1945,1987,5,16,,,
James Adkisson,James,Adkisson,St. Louis,MO,USA,,,,1940,1945,1980,1,11,,,
Daniel Adongo,Daniel,Adongo,,,,,,,2013,2013,1989,10,12,,,
Al Afalava,Al,Afalava,Laie,HI,USA,,,,2009,2012,1987,1,20,,,
Erik Affholter,Erik,Affholter,Detroit,MI,USA,,,,1991,1991,1966,4,10,,,
Dick Afflis,Dick,Afflis,Lafayette,IN,USA,Largo,FL,,1991,1991,1929,6,27,1991,11,10
Ben Agajanian,Ben,Agajanian,Santa Ana,CA,USA,,,,1945,1964,1919,8,28,,,
Alex Agase,Alex,Agase,Chicago,IL,USA,Tarpon Springs,FL,,1945,1964,1922,3,27,2007,5,3
Louis Age,Louis,Age,New Orleans,LA,USA,,,,1992,1992,1970,2,1,,,
Mel Agee,Mel,Agee,Chicago,IL,USA,Lawrenceville,GA,,1992,1992,1968,11,22,2008,6,15
Sam Agee,Sam,Agee,Courtland,AL,USA,Sparta,TN,,1992,1992,1915,10,21,2006,11,2
Tommie Agee,Tommie,Agee,Chilton,AL,USA,,,,1992,1992,1964,2,22,,,
Bob Agler,Bob,Agler,Columbus,OH,USA,Westerville,OH,,1948,1949,1924,3,13,2005,9,16
Ray Agnew,Ray,Agnew,Winston-Salem,NC,USA,,,,1990,2000,1967,12,9,,,
Vincent Agnew,Vincent,Agnew,,,,,,,1990,2000,1987,12,28,,,
Louie Aguiar,Louie,Aguiar,Livermore,CA,USA,,,,1991,2000,1966,6,30,,,
Joe Aguirre,Joe,Aguirre,Rock Springs,WV,USA,Grass Valley,CA,,1991,2000,1918,10,17,1985,7,13
C.J. Ah You,C.J.,Ah,LaHabra,CA,USA,,,,2009,2011,1982,7,7,,,
Chidi Ahanotu,Chidi,Ahanotu,Modesto,CA,USA,,,,1993,2004,1970,10,11,,,
Dan Ahern,Dan,Ahern,Manchester,NH,USA,Washington,DC,,1921,1921,1898,2,15,1963,8,31
Dave Ahrens,Dave,Ahrens,Cedar Falls,IA,USA,,,,1981,1990,1958,12,5,,,
Tony Aiello,Tony,Aiello,Monongahela,PA,USA,Norwalk,OH,,1944,1944,1921,4,29,2012,2,24
Danny Aiken,Danny,Aiken,,,,,,,2011,2013,1988,8,28,,,
Kamar Aiken,Kamar,Aiken,,,,,,,2011,2013,1989,5,30,,,
Sam Aiken,Sam,Aiken,Kenansville,NC,USA,,,,2011,2013,1980,12,14,,,
Carl Aikens,Carl,Aikens,Great Lakes,IL,USA,,,,2011,2013,1962,6,5,,,
Troy Aikman,Troy,Aikman,West Covina,CA,USA,,,,2011,2013,1966,11,21,,,
Jim Ailinger,Jim,Ailinger,Buffalo,NY,USA,Rochester,NY,,1924,1924,1901,7,10,2001,3,27
Charles Aiu,Charles,Aiu,Honolulu,HI,USA,,,,1976,1978,1954,5,22,2001,12,28
Victor Aiyewa,Victor,Aiyewa,,,,,,,2013,2013,1987,2,4,,,
Seyi Ajirotutu,Seyi,Ajirotutu,El Dorado Hills,CA,USA,,,,2010,2013,1987,6,12,,,
Hakim Akbar,Hakim,Akbar,Riverside,CA,USA,,,,2001,2002,1980,8,11,,,
David Akers,David,Akers,Lexington,KY,USA,,,,1998,2013,1974,12,9,,,
Harold Akin,Harold,Akin,McAlester,OK,USA,,,,1967,1968,1945,1,11,,,
Len Akin,Len,Akin,McKinney,TX,USA,Irving,TX,,1967,1968,1916,4,8,1987,3,5
Al Akins,Al,Akins,Spokane,WA,USA,Reno,NV,,1967,1968,1921,6,13,1995,8,29
Chris Akins,Chris,Akins,Little Rock,AR,USA,,,,1967,1968,1976,11,29,,,
Frank Akins,Frank,Akins,John,MT,USA,Redding,CA,,1967,1968,1919,3,31,1992,7,6
Mike Akiu,Mike,Akiu,Kailua,HI,USA,,,,1967,1968,1962,2,12,,,
Anthony Alabi,Anthony,Alabi,San Antonio,TX,USA,,,,2006,2007,1981,2,16,,,
Ikaika Alama-Francis,Ikaika,Alama-Francis,Kane'ohe,HI,USA,,,,2006,2007,1984,12,4,,,
Dick Alban,Dick,Alban,Hanover,PA,USA,,,,1952,1959,1929,1,17,2016,4,8
Dom Albanese,Dom,Albanese,,OH,USA,Lancaster,OH,,1952,1959,1903,9,9,1992,3,17
Vannie Albanese,Vannie,Albanese,Syracuse,NY,USA,Canandaigua,NY,,1952,1959,1912,12,2,1984,9,2
Tom Alberghini,Tom,Alberghini,Peabody,MA,USA,,,,1952,1959,1920,10,27,2013,11,26
Branden Albert,Branden,Albert,Rochester,NY,USA,,,,1952,1959,1984,11,4,,,
Frankie Albert,Frankie,Albert,Chicago,IL,USA,Palo Alto,CA,,1952,1959,1920,1,27,2002,9,4
Sergio Albert,Sergio,Albert,Mexico City,,Mexico,,,,1952,1959,1951,10,28,,,
Trev Alberts,Trev,Alberts,Cedar Falls,IA,USA,,,,1952,1959,1970,8,8,,,
Art Albrecht,Art,Albrecht,Manitowoc,WI,USA,Manitowoc,WI,,1952,1959,1921,2,24,2004,2,1
Ted Albrecht,Ted,Albrecht,Harvey,IL,USA,,,,1952,1959,1954,10,8,,,
Alex Albright,Alex,Albright,,,,,,,1952,1959,1988,1,29,,,
Bill Albright,Bill,Albright,Racine,WI,USA,Spooner,WI,,1952,1959,1929,4,4,2013,1,17
Ethan Albright,Ethan,Albright,Greensboro,NC,USA,,,,1952,1959,1971,5,1,,,
Ira Albright,Ira,Albright,Dallas,TX,USA,,,,1952,1959,1959,1,2,,,
Vince Albritton,Vince,Albritton,Oakland,CA,USA,,,,1952,1959,1962,7,23,,,
Zac Alcorn,Zac,Alcorn,Chadron,NE,USA,,,,2006,2006,1980,8,24,,,
Grady Alderman,Grady,Alderman,Detroit,MI,USA,,,,1960,1974,1938,12,10,,,
John Alderton,John,Alderton,,,,,,,1960,1974,1931,9,5,2013,5,8
Ki Aldrich,Ki,Aldrich,Rogers,TX,USA,Temple,TX,,1960,1974,1916,6,1,1983,3,12
Allen Aldridge,Allen,Aldridge,Eagle Lake,TX,USA,,,,1960,1974,1945,4,27,2015,9,30
Allen Aldridge,Allen,Aldridge,Houston,TX,USA,,,,1960,1974,1972,5,30,,,
Bennie Aldridge,Bennie,Aldridge,Velma,OK,USA,Bradley,OK,,1960,1974,1926,10,24,1956,5,14
Jerry Aldridge,Jerry,Aldridge,Jacksonville,TX,USA,,,,1960,1974,1956,9,17,,,
Kevin Aldridge,Kevin,Aldridge,Palestine,TX,USA,,,,1960,1974,1980,3,3,,,
Lionel Aldridge,Lionel,Aldridge,Evergreen,LA,USA,Shorewood,WI,,1960,1974,1941,2,14,1998,2,12
Melvin Aldridge,Melvin,Aldridge,Pittsburgh,TX,USA,,,,1960,1974,1970,7,22,,,
Arnold Ale,Arnold,Ale,San Pedro,CA,USA,,,,1994,1996,1970,6,17,,,
Ink Aleaga,Ink,Aleaga,Honolulu,HI,USA,,,,1994,1996,1973,4,27,,,
Chas Alecxih,Chas,Alecxih,,,,,,,1994,1996,1989,2,10,,,
Keith Alex,Keith,Alex,Kountze,TX,USA,,,,1994,1996,1969,6,9,,,
Steve Alexakos,Steve,Alexakos,Lowell,MA,USA,,,,1994,1996,1946,12,15,,,
Alvester Alexander,Alvester,Alexander,,,,,,,1994,1996,1990,10,17,,,
Brent Alexander,Brent,Alexander,Gallatin,TN,USA,,,,1994,1996,1971,7,10,,,
Bruce Alexander,Bruce,Alexander,Lufkin,TX,USA,,,,1994,1996,1965,9,17,,,
Charles Alexander,Charles,Alexander,Galveston,TX,USA,,,,1994,1996,1957,7,28,,,
Dan Alexander,Dan,Alexander,Houston,TX,USA,,,,1994,1996,1955,6,17,,,
Dan Alexander,Dan,Alexander,Wentzville,MO,USA,,,,1994,1996,1978,3,17,,,
Danario Alexander,Danario,Alexander,Marlin,TX,USA,,,,1994,1996,1986,8,7,,,
David Alexander,David,Alexander,Silver Spring,MD,USA,,,,1994,1996,1964,7,28,,,
Derrick Alexander,Derrick,Alexander,Detroit,MI,USA,,,,1994,1996,1971,11,6,,,
Doc Alexander,Doc,Alexander,Silver Creek,NY,USA,New York City,NY,,1994,1996,1898,4,1,1975,9,12
Elijah Alexander,Elijah,Alexander,Fort Worth,TX,USA,Dallas,TX,,1994,1996,1970,8,2,2010,3,24
Eric Alexander,Eric,Alexander,Tyler,TX,USA,,,,1994,1996,1982,2,8,,,
Frank Alexander,Frank,Alexander,,,,,,,1994,1996,1989,12,17,,,
Gerald Alexander,Gerald,Alexander,Los Angeles,CA,USA,,,,1994,1996,1984,6,28,,,
Glenn Alexander,Glenn,Alexander,New Orleans,LA,USA,,,,1994,1996,1947,6,3,,,
Harold Alexander,Harold,Alexander,Pickens,SC,USA,,,,1994,1996,1970,10,20,,,
Jeff Alexander,Jeff,Alexander,Baton Rouge,LA,USA,,,,1994,1996,1965,1,15,,,
John Alexander,John,Alexander,Hattiesburg,MS,USA,,,,1994,1996,1955,11,12,,,
John Alexander,John,Alexander,New York City,NY,USA,Edison,NJ,,1994,1996,1896,7,4,1986,8,5
Kermit Alexander,Kermit,Alexander,New Iberia,LA,USA,,,,1994,1996,1941,1,4,,,
Kevin Alexander,Kevin,Alexander,Baton Rouge,LA,USA,,,,1994,1996,1975,1,23,,,
Kevin Alexander,Kevin,Alexander,Lake Butler,FL,USA,,,,1994,1996,1987,7,1,,,
Lorenzo Alexander,Lorenzo,Alexander,Oakland,CA,USA,,,,1994,1996,1983,5,31,,,
Mike Alexander,Mike,Alexander,New York City,NY,USA,,,,1994,1996,1965,3,19,,,
Mister Alexander,Mister,Alexander,,,,,,,1994,1996,1988,6,2,,,
P.J. Alexander,P.J.,Alexander,Springfield,MA,USA,,,,1994,1996,1978,12,23,,,
Patrise Alexander,Patrise,Alexander,Galveston,TX,USA,,,,1994,1996,1972,10,23,,,
Ray Alexander,Ray,Alexander,Miami,FL,USA,,,,1994,1996,1962,1,8,,,
Robert Alexander,Robert,Alexander,Charleston,WV,USA,,,,1994,1996,1958,4,21,,,
Roc Alexander,Roc,Alexander,Colorado Springs,CO,USA,,,,1994,1996,1981,9,23,,,
Rogers Alexander,Rogers,Alexander,Washington,DC,USA,,,,1994,1996,1964,8,11,,,
Rufus Alexander,Rufus,Alexander,Baton Rouge,LA,USA,,,,1994,1996,1983,4,12,,,
Shaun Alexander,Shaun,Alexander,Florence,KY,USA,,,,1994,1996,1977,8,30,,,
Stephen Alexander,Stephen,Alexander,Chickasha,OK,USA,,,,1994,1996,1975,11,7,,,
Vincent Alexander,Vincent,Alexander,St. Tammany,LA,USA,,,,1994,1996,1964,3,11,,,
Willie Alexander,Willie,Alexander,Montgomery,LA,USA,,,,1994,1996,1949,9,21,,,
Alton Alexis,Alton,Alexis,New Iberia,LA,USA,,,,1994,1996,1957,11,16,,,
Rich Alexis,Rich,Alexis,Boynton Beach,FL,USA,,,,1994,1996,1981,3,6,,,
Ted Alflen,Ted,Alflen,Dunsmuir,CA,USA,Broward County,FL,,1969,1969,1947,1,3,1978,9,15
Julie Alfonse,Julie,Alfonse,Cumberland,WI,USA,Windsor,VT,,1969,1969,1911,10,12,2000,5,21
Brian Alford,Brian,Alford,Oak Park,MI,USA,,,,1969,1969,1975,6,7,,,
Bruce Alford,Bruce,Alford,Fort Worth,TX,USA,,,,1969,1969,1945,4,21,,,
Bruce Alford,Bruce,Alford,Waco,TX,USA,Fort Worth,TX,,1969,1969,1922,9,12,2010,5,8
Darnell Alford,Darnell,Alford,Newark,NJ,USA,,,,1969,1969,1977,6,11,,,
Dominic Alford,Dominic,Alford,,,,,,,1969,1969,1988,2,22,,,
Gene Alford,Gene,Alford,Rising Star,TX,USA,Houston,TX,,1969,1969,1905,4,3,1972,4,1
Jay Alford,Jay,Alford,Orange,NJ,USA,,,,1969,1969,1983,5,28,,,
Lynwood Alford,Lynwood,Alford,,,,,,,1969,1969,1963,8,22,,,
Mike Alford,Mike,Alford,DeFuniak Springs,FL,USA,,,,1969,1969,1943,6,19,,,
Robert Alford,Robert,Alford,,,,,,,1969,1969,1988,11,1,,,
Warren Alfson,Warren,Alfson,Wisner,NE,USA,Wisner,NE,,1969,1969,1915,5,10,2001,6,4
Charles Ali,Charles,Ali,St. Louis,MO,USA,,,,2007,2008,1984,8,23,,,
Tuineau Alipate,Tuineau,Alipate,,,,,,,2007,2008,1967,8,21,,,
Don Allard,Don,Allard,,,,Winchester,MA,,1961,1962,1936,4,21,2002,5,4
Raul Allegre,Raul,Allegre,Torreon,,Mexico,,,,1961,1962,1959,6,15,,,
Andy Alleman,Andy,Alleman,Akron,OH,USA,,,,1961,1962,1983,11,20,,,
Anthony Allen,Anthony,Allen,McComb,MS,USA,,,,1961,1962,1959,6,29,,,
Anthony Allen,Anthony,Allen,,,,,,,1961,1962,1988,8,6,,,
Antonio Allen,Antonio,Allen,,,,,,,1961,1962,1988,9,23,,,
Armando Allen,Armando,Allen,,,,,,,1961,1962,1989,4,30,,,
Asher Allen,Asher,Allen,Tucker,GA,USA,,,,1961,1962,1988,1,22,,,
Brian Allen,Brian,Allen,Ontario,CA,USA,,,,1961,1962,1980,4,20,,,
Buddy Allen,Buddy,Allen,,,,,,,1961,1962,1937,7,11,,,
Carl Allen,Carl,Allen,Haskell,OK,USA,Alexander,AR,,1961,1962,1920,6,25,2008,11,7
Carl Allen,Carl,Allen,Hattiesburg,MS,USA,,,,1961,1962,1955,12,21,,,
Chuck Allen,Chuck,Allen,Cle Elum,WA,USA,,,,1961,1962,1939,9,7,,,
Cortez Allen,Cortez,Allen,,,,,,,1961,1962,1988,10,29,,,
Dalva Allen,Dalva,Allen,Gonzales,TX,USA,,,,1961,1962,1935,1,13,,,
David Allen,David,Allen,Euless,TX,USA,,,,1961,1962,1978,2,9,,,
Derek Allen,Derek,Allen,Geneseo,IL,USA,,,,1961,1962,1971,1,30,,,
Don Allen,Don,Allen,Leon Co.,TX,USA,,,,1961,1962,1939,8,20,,,
Doug Allen,Doug,Allen,Tampa,FL,USA,,,,1961,1962,1951,11,13,,,
Duane Allen,Duane,Allen,Alhambra,CA,USA,Pasadena,CA,,1961,1962,1937,10,21,2003,5,7
Dwayne Allen,Dwayne,Allen,,,,,,,1961,1962,1990,2,24,,,
Earl Allen,Earl,Allen,Houston,TX,USA,,,,1961,1962,1961,10,24,,,
Ed Allen,Ed,Allen,Dixon,IL,USA,,,,1961,1962,1901,6,5,1943,2,20
Eddie Allen,Eddie,Allen,Dansville,NY,USA,Colorado Springs,CO,,1961,1962,1920,5,5,2012,3,1
Egypt Allen,Egypt,Allen,Dallas,TX,USA,,,,1961,1962,1964,7,28,,,
