name,first_name,last_name,birth_city,birth_state,birth_country,death_city,death_state,death_country,year_start,year_end,birth_year,birth_month,birth_day,death_year,death_month,death_day
Mark Duckens,Mark,Duckens,Wichita,KS,USA,,,,2010,2013,1965,3,4,,,
Damane Duckett,Damane,Duckett,Waterbury,CT,USA,,,,2010,2013,1981,1,21,,,
Forey Duckett,Forey,Duckett,Oakland,CA,USA,,,,2010,2013,1970,2,5,,,
Kenny Duckett,Kenny,Duckett,Winston-Salem,NC,USA,,,,2010,2013,1959,10,1,,,
T.J. Duckett,T.J.,Duckett,Kalamazoo,MI,USA,,,,2010,2013,1981,2,17,,,
Robert Ducksworth,Robert,Ducksworth,Biloxi,MS,USA,,,,2010,2013,1963,1,5,,,
Bobby Duckworth,Bobby,Duckworth,Crossett,AR,USA,,,,2010,2013,1958,11,27,,,
Joe Duckworth,Joe,Duckworth,Orange,NJ,USA,,,,2010,2013,1921,7,3,2007,2,18
Tim Duckworth,Tim,Duckworth,Taylorsville,MS,USA,,,,2010,2013,1982,9,14,,,
Moon Ducote,Moon,Ducote,Cottonport,LA,USA,,,,2010,2013,1897,8,28,1937,3,25
Mark Duda,Mark,Duda,Wilkes-Barre,PA,USA,,,,1983,1987,1961,2,4,,,
Joe Dudek,Joe,Dudek,Boston,MA,USA,,,,1983,1987,1964,1,22,,,
Mitch Dudek,Mitch,Dudek,Evanston,IL,USA,,,,1983,1987,1943,11,9,,,
Dick Duden,Dick,Duden,Pottstown,PA,USA,,,,1983,1987,1924,11,29,2013,3,31
Andy Dudish,Andy,Dudish,Wilkes-Barre,PA,USA,,,,1983,1987,1921,10,13,2001,1,19
Bill Dudley,Bill,Dudley,Bluefield,VA,USA,Lynchburg,VA,USA,1983,1987,1919,12,24,2010,2,4
Brian Dudley,Brian,Dudley,Los Angeles,CA,USA,,,,1983,1987,1960,8,30,,,
Kevin Dudley,Kevin,Dudley,Brookville,IL,USA,,,,1983,1987,1982,1,2,,,
Paul Dudley,Paul,Dudley,Fort Smith,AR,USA,,,,1983,1987,1939,1,16,1987,4,19
Rickey Dudley,Rickey,Dudley,Henderson,TX,USA,,,,1983,1987,1972,7,15,,,
Dave Duerson,Dave,Duerson,Muncie,IN,USA,,,,1983,1993,1960,11,28,,,
Paul Dufault,Paul,Dufault,Bridgeport,CT,USA,,,,1987,1987,1964,2,15,,,
Don Dufek,Don,Dufek,Ann Arbor,MI,USA,,,,1987,1987,1954,4,28,,,
Joe Dufek,Joe,Dufek,Ann Arbor,MI,USA,,,,1987,1987,1961,8,23,,,
Bill Duff,Bill,Duff,Delran,NJ,USA,,,,1987,1987,1974,2,24,,,
Jamal Duff,Jamal,Duff,Columbus,OH,USA,,,,1987,1987,1972,3,11,,,
John Duff,John,Duff,Columbus,OH,USA,,,,1987,1987,1967,7,31,,,
Jim Dufft,Jim,Dufft,,,,,,,1987,1987,1896,6,25,1960,5,28
Pat Duffy,Pat,Duffy,Dayton,OH,USA,,,,1987,1987,1906,12,6,1965,10,14
Roger Duffy,Roger,Duffy,Pittsburgh,PA,USA,,,,1987,1987,1967,7,16,,,
Dukes Duford,Dukes,Duford,Menomonie,WI,USA,,,,1987,1987,1898,6,11,1981,5,8
Dan Dufour,Dan,Dufour,Lynn,MA,USA,,,,1987,1987,1960,10,18,,,
Bill Dugan,Bill,Dugan,Hornell,NY,USA,,,,1981,1987,1959,6,5,,,
Fred Dugan,Fred,Dugan,Stamford,CT,USA,,,,1981,1987,1933,5,12,,,
Jeff Dugan,Jeff,Dugan,Allison Park,PA,USA,,,,1981,1987,1981,4,8,,,
Len Dugan,Len,Dugan,,,,,,,1981,1987,1910,2,19,1967,6,20
Ron Dugans,Ron,Dugans,Tallahassee,FL,USA,,,,1981,1987,1977,4,27,,,
Eddie Duggan,Eddie,Duggan,Franklin,IN,USA,,,,1981,1987,1891,5,19,1950,10,16
Gil Duggan,Gil,Duggan,Benton,AR,USA,,,,1981,1987,1914,12,26,1974,10,18
Jack Dugger,Jack,Dugger,Pittsburgh,PA,USA,,,,1981,1987,1923,1,13,1988,2,23
Herb Duggins,Herb,Duggins,New Albany,IN,USA,,,,1981,1987,1912,3,25,1988,7,20
Paul Duhart,Paul,Duhart,Montreal,,Canada,,,,1944,1945,1920,12,30,2006,1,18
A.J. Duhe,A.J.,Duhe,New Orleans,LA,USA,,,,1944,1945,1955,11,27,,,
Bobby Duhon,Bobby,Duhon,Abbeville,LA,USA,,,,1944,1945,1946,9,24,,,
Steve Duich,Steve,Duich,Long Beach,CA,USA,,,,1968,1969,1946,2,28,,,
Paul Duke,Paul,Duke,DeKalb County,GA,USA,,,,1947,1947,1924,9,24,2009,3,24
Wesley Duke,Wesley,Duke,Grand Prairie,TX,USA,,,,1947,1947,1981,6,21,,,
Chad Dukes,Chad,Dukes,Albany,NY,USA,,,,1947,1947,1971,12,29,,,
Jamie Dukes,Jamie,Dukes,Schenectady,NY,USA,,,,1947,1947,1964,6,14,,,
Mike Dukes,Mike,Dukes,Louisville,KY,USA,,,,1947,1947,1936,3,16,2008,6,16
Bill DuLac,Bill,DuLac,Detroit,MI,USA,,,,1974,1975,1951,1,15,,,
Mike Dulaney,Mike,Dulaney,Kingsport,TN,USA,,,,1974,1975,1970,9,9,,,
Chris Duliban,Chris,Duliban,Champaign,IL,USA,,,,1974,1975,1963,1,9,,,
Gary Dulin,Gary,Dulin,Madisonville,KY,USA,,,,1974,1975,1957,1,20,,,
Mike Dumas,Mike,Dumas,Grand Rapids,MI,USA,,,,1991,2000,1969,3,18,,,
Troy Dumas,Troy,Dumas,Riverside,CA,USA,,,,1991,2000,1972,9,30,,,
Jon Dumbauld,Jon,Dumbauld,Anaheim,CA,USA,,,,1991,2000,1963,2,14,,,
Elvis Dumervil,Elvis,Dumervil,Miami,FL,USA,,,,1991,2000,1984,1,19,,,
Doug Dumler,Doug,Dumler,Hoisington,KS,USA,,,,1991,2000,1950,12,15,,,
Billy DuMoe,Billy,DuMoe,Duluth,MN,USA,,,,1991,2000,1898,3,14,1983,5,6
Joe DuMoe,Joe,DuMoe,Duluth,MN,USA,,,,1991,2000,1894,9,11,1959,2,23
Jim Dumont,Jim,Dumont,Bristol,PA,USA,,,,1991,2000,1961,7,16,,,
Craig Dunaway,Craig,Dunaway,Lake Charles,LA,USA,,,,1983,1983,1961,3,27,,,
Dave Dunaway,Dave,Dunaway,Philadelphia,PA,USA,,,,1983,1983,1945,1,19,2001,3,12
Jim Dunaway,Jim,Dunaway,Columbia,MS,USA,,,,1983,1983,1941,9,3,,,
Jo-Lonn Dunbar,Jo-Lonn,Dunbar,Syracuse,NY,USA,,,,1983,1983,1985,3,13,,,
Jubilee Dunbar,Jubilee,Dunbar,New Orleans,LA,USA,,,,1983,1983,1949,5,17,,,
Karl Dunbar,Karl,Dunbar,Opelousas,LA,USA,,,,1983,1983,1967,5,18,,,
Lance Dunbar,Lance,Dunbar,,,,,,,1983,1983,1990,1,25,,,
LaTarence Dunbar,LaTarence,Dunbar,Dallas,TX,USA,,,,1983,1983,1980,8,15,,,
Vaughn Dunbar,Vaughn,Dunbar,Fort Wayne,IN,USA,,,,1983,1983,1968,9,4,,,
Brian Duncan,Brian,Duncan,Olney,TX,USA,,,,1983,1983,1952,3,31,,,
Clyde Duncan,Clyde,Duncan,Oxon Hill,MD,USA,,,,1983,1983,1961,2,5,2015,2,16
Curtis Duncan,Curtis,Duncan,Detroit,MI,USA,,,,1983,1983,1965,1,26,,,
Frank Duncan,Frank,Duncan,San Francisco,CA,USA,,,,1983,1983,1956,11,16,,,
Howard Duncan,Howard,Duncan,,,,,,,1983,1983,1924,11,8,1986,7,
Jamie Duncan,Jamie,Duncan,Wilmington,DE,USA,,,,1983,1983,1975,7,20,,,
Jim Duncan,Jim,Duncan,Lancaster,SC,USA,,,,1983,1983,1946,8,3,1972,10,20
Jim Duncan,Jim,Duncan,Reidsville,NC,USA,,,,1983,1983,1925,5,2,2011,1,5
Ken Duncan,Ken,Duncan,Rock Island,IL,USA,,,,1983,1983,1946,2,28,,,
Maury Duncan,Maury,Duncan,Oakland,CA,USA,,,,1983,1983,1931,7,18,,,
Randy Duncan,Randy,Duncan,Osage,IA,USA,,,,1983,1983,1937,3,15,,,
Rick Duncan,Rick,Duncan,Mattoon,IL,USA,,,,1983,1983,1941,8,14,,,
Ron Duncan,Ron,Duncan,Lakeland,FL,USA,,,,1983,1983,1943,9,8,2013,9,26
Speedy Duncan,Speedy,Duncan,Tuscaloosa,AL,USA,,,,1983,1983,1942,8,10,,,
Tim Duncan,Tim,Duncan,Tulsa,OK,USA,,,,1983,1983,1979,6,12,,,
Bob Duncum,Bob,Duncum,Austin,TX,USA,,,,1983,1983,1944,8,14,,,
Ken Dunek,Ken,Dunek,Chicago,IL,USA,,,,1983,1983,1957,6,20,,,
Tony Dungy,Tony,Dungy,Jackson,MI,USA,,,,1983,1983,1955,10,6,,,
Tom Duniven,Tom,Duniven,Pampa,TX,USA,,,,1983,1983,1954,5,20,,,
Bob Dunlap,Bob,Dunlap,Haskell,OK,USA,,,,1983,1983,1912,10,29,1966,7,30
Carlos Dunlap,Carlos,Dunlap,North Charleston,SC,USA,,,,1983,1983,1989,2,28,,,
King Dunlap,King,Dunlap,,,,,,,1983,1983,1985,9,9,,,
Lenny Dunlap,Lenny,Dunlap,Monroe,LA,USA,,,,1983,1983,1949,6,25,,,
Anthony Dunn,Anthony,Dunn,Denver,CO,USA,,,,1983,1983,1980,7,1,,,
Bob Dunn,Bob,Dunn,,,,,,,1983,1983,1905,7,1,1978,8,26
Coye Dunn,Coye,Dunn,Vilas,CO,USA,,,,1983,1983,1916,3,7,2000,2,8
Damon Dunn,Damon,Dunn,Fort Worth,TX,USA,,,,1983,1983,1976,3,15,,,
David Dunn,David,Dunn,San Diego,CA,USA,,,,1983,1983,1972,6,10,,,
Gary Dunn,Gary,Dunn,Coral Gables,FL,USA,,,,1983,1983,1953,8,24,,,
Jason Dunn,Jason,Dunn,Harrodsburg,KY,USA,,,,1983,1983,1973,11,15,,,
K.D. Dunn,K.D.,Dunn,Fort Hood,TX,USA,,,,1983,1983,1963,4,28,,,
Paul Dunn,Paul,Dunn,Little Rock,AR,USA,,,,1983,1983,1948,7,14,,,
Red Dunn,Red,Dunn,Milwaukee,WI,USA,,,,1983,1983,1901,6,21,1957,1,15
Reggie Dunn,Reggie,Dunn,,,,,,,1983,1983,1989,1,5,,,
Roddy Dunn,Roddy,Dunn,Duluth,MN,USA,,,,1983,1983,1895,8,8,1961,12,20
Warrick Dunn,Warrick,Dunn,Baton Rouge,LA,USA,,,,1983,1983,1975,1,5,,,
Pat Dunne,Pat,Dunne,,,,,,,1983,1983,,,,,,
Pat Dunnigan,Pat,Dunnigan,Bay City,MI,USA,,,,1983,1983,1894,1,24,1937,3,29
Drake Dunsmore,Drake,Dunsmore,,,,,,,1983,1983,1988,11,4,,,
Pat Dunsmore,Pat,Dunsmore,Duluth,MN,USA,,,,1983,1983,1957,10,2,,,
Bill Dunstan,Bill,Dunstan,Oakland,CA,USA,,,,1983,1983,1949,1,3,,,
Elwyn Dunstan,Elwyn,Dunstan,San Francisco,CA,USA,,,,1983,1983,1915,2,4,1999,3,12
Reggie Dupard,Reggie,Dupard,New Orleans,LA,USA,,,,1986,1990,1963,10,30,,,
Mark Duper,Mark,Duper,Pineville,LA,USA,,,,1986,1990,1959,1,25,,,
Charlie Dupre,Charlie,Dupre,Texas City,TX,USA,,,,1986,1990,1933,11,11,,,
L.G. Dupre,L.G.,Dupre,New Orleans,LA,USA,,,,1986,1990,1932,9,10,2001,8,9
Marcus Dupree,Marcus,Dupree,Philadelphia,MS,USA,,,,1986,1990,1964,5,22,,,
