name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Hiro Matsuda,Yokohama,Kanagawa Prefecture,JP,Tampa,Florida,US,"[sta, nwa]",1937,7,22,1999,11,27,m
Hiro Saito,Kawasaki,Kanagawa Prefecture,JP,,,US,"[sta, wcw]",1961,5,25,,,,m
Hiroko Suzuki,Aichi,,JP,,,US,[wwe],1974,,,,,,m
Hiromichi Fuyuki,Tokyo,,JP,Yokohama,,JP,[nwa],1960,5,11,2003,3,19,m
Hirooki Goto,Kuwana,Mie Prefecture,JP,,,,[tna],1979,6,25,,,,m
Hiroshi Hase,,,US,,,US,"[sta, wcw]",1961,5,5,,,,m
Hiroshi Tanahashi,Ogaki,Gifu,JP,,,US,[tna],1976,11,13,,,,m
Hiroshi Wajima,Ishikawa,,JP,,,,[nwa],1948,1,11,,,,m
Hiroyoshi Tenzan,Kyoto,Kyoto Prefecture,JP,,,US,[wcw],1971,3,23,,,,m
Hisao Tanaka,Los Angeles,California,US,Las Vegas,Nevada,US,[nwa],1921,4,22,1991,6,30,m
Horace Hogan,Tampa,Florida,US,,,,"[ecw, wcw]",1965,10,21,,,,m
Hornswoggle,Oshkosh,Wisconsin,US,,,,[wwe],1986,5,29,,,,m
Hubert Gallant,Shediac,New Brunswick,CA,,,US,"[sta, nwa]",1955,11,12,,,,m
Hugo Savinovich,Guayaquil,,EC,,,,[wwe],1959,2,15,,,,m
Hulk Hogan,Augusta,Georgia,US,,,,"[wwe, sta, nwa, awa, tna, wcw]",1953,8,11,,,,m
Human Tornado,Hollywood,Alabama,US,,,,[tna],1983,5,1,,,,m
Hunico,El Paso,Texas,US,,,US,[wwe],1977,9,5,,,,m
Huracán Ramírez,Mexico City,,MX,Mexico City,,MX,[sta],1926,4,9,2006,10,31,m
Ian Harrison,Leeds,England,GB,,,US,[tna],1969,1,3,,,,m
Ian Rotten,Baltimore,Maryland,US,,,US,[ecw],1970,6,1,,,,m
Ib Solvang Hansen,Odense,,DK,Tampa,Florida,US,[sta],1934,8,1,1978,11,16,m
Ice Train,,,US,,,,[wcw],1967,11,13,,,,m
Ikuto Hidaka,Masuda,Shimane,JP,,,,[ecw],1972,8,5,,,,m
Ilio DiPaolo,Introdacqua,Abruzzo,IT,Hamburg,New York,US,[sta],1926,11,8,1995,5,10,m
Invader II,,,US,,,,[nwa],1948,,,,,,m
Ion Croitoru,Hamilton,Ontario,CA,,,US,[sta],1965,12,7,,,,m
Ivan Koloff,Montreal,Quebec,CA,,,US,"[wwe, ecw, nwa]",1942,8,25,,,,m
Ivan Putski,Kraków,,PL,,,US,[wwe],1941,1,21,,,,m
