name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Kikutaro,,,,,,,[tna],1977,1,10,,,,m
Killer Karl Kox,Baltimore,Maryland,US,,,US,[nwa],1931,4,26,2011,11,10,m
Killer Khan,Tsubame,Niigata,JP,,,,"[wwe, sta, nwa]",1947,3,6,,,,m
Killer Kowalski,Windsor,Ontario,CA,Malden,Massachusetts,US,"[wwe, sta, nwa]",1926,10,13,2008,8,30,m
Killer Kyle,Atlanta,Georgia,US,,,,"[nwa, wcw, wwe]",,,,,,,m
Killer Tim Brooks,,,US,,,US,"[sta, nwa]",1947,,,,,,m
Kim Duk,Tokyo,,JP,,,,"[sta, nwa]",1948,2,7,,,,m
Kim Nielsen,Falmouth,Michigan,US,,,US,[tna],1973,6,2,,,,f
Kimberly Page,Chicago,Illinois,US,,,US,[wcw],1969,1,1,,,,f
King Curtis Iaukea,Honolulu,Hawaii,US,Honolulu,Hawaii,US,"[wwe, sta, wcw]",1937,9,15,2010,12,4,m
King Kong Bundy,Atlantic City,New Jersey,US,,,,"[wwe, sta, ecw, nwa]",1957,11,7,,,,m
King Parsons,,,US,,,,[nwa],1950,6,11,,,,m
Kinji Shibuya,,Utah,US,,,US,"[sta, nwa]",1921,5,16,2010,5,3,m
Kirby Mack,Philadelphia,Pennsylvania,US,,,,[tna],1983,11,25,,,,m
Kofi Kingston,Kumasi,Ashanti Region,GH,,,,[wwe],1981,8,14,,,,m
Koji Kanemoto,Kobe,Hyōgo Prefecture,JP,,,,[wcw],1966,10,31,,,,m
Kōji Kitao,,Mie Prefecture,JP,,,US,[wwe],1963,8,12,,,,m
Koji Nakagawa,Setagaya,Tokyo,JP,,,US,[ecw],1968,6,26,,,,m
Koki Kitahara,Fukuoka,Fukuoka,JP,,,US,[sta],1964,3,9,,,,m
Koko B. Ware,Union City,Tennessee,US,,,,[wwe],1957,6,20,,,,m
Kola Kwariani,Kutaisi,Georgia,US,New York City,New York,US,[nwa],1903,1,16,1980,2,,m
Konnan,Santiago,,CU,,,,"[wwe, sta, ecw, wcw]",1964,1,6,,,,m
Konnor,Grand Rapids,Michigan,US,,,,[wwe],1980,2,6,,,,m
Kouhiro Kanemura,,,US,,,US,[ecw],1970,8,9,,,,m
Krissy Vaine,Greensboro,North Carolina,US,,,,[wwe],1981,1,12,,,,f
Kristal Marshall,Los Angeles,California,US,,,,"[wwe, tna]",1983,11,11,,,,f
Kristina Laum,Seoul,South Korea,US,,,,[wcw],1976,11,23,,,,f
Krusher Kong,Dallas,Texas,US,,,,[wcw],,,,,,,m
Kuishinbo Kamen,Mima,Tokushima,JP,,,US,[tna],1975,8,19,,,,m
Kuniaki Kobayashi,Komoro,Nagano,JP,,,,[sta],1956,1,11,,,,m
Kurt Angle,Mt. Lebanon,Pennsylvania,US,,,,"[wwe, tna]",1968,12,9,,,,m
Kurt Von Brauner,,Tennessee,US,Tampa,Florida,US,[sta],1925,1,19,2004,6,4,m
Kurt Von Hess,Hamilton,Ontario,CA,Hamilton,Ontario,CA,[sta],1942,4,10,1999,3,13,m
Kyle Edwards,Toronto,Ontario,CA,,,,[wwe],1981,5,7,,,,m
La Parka,Querétaro,,MX,,,,[wcw],1965,11,14,,,,m
La Sombra,Gómez Palacio,Durango,MX,,,US,[wwe],1989,11,3,,,,m
Lacey Von Erich,Dallas,Texas,US,,,,[wwe],1986,7,17,,,,f
Lana,Gainesville,Florida,US,,,,[wwe],1985,3,24,,,,f
Lance Cade,Carroll,Iowa,US,San Antonio,Texas,US,[wwe],1981,3,2,2010,8,13,m
Lance Hoyt,Gause,Texas,US,,,,"[wwe, tna]",1977,2,28,,,,m
Lance Storm,Sarnia,Ontario,CA,,,US,"[wwe, ecw, wcw]",1969,4,3,,,,m
Lanny Poffo,Calgary,Alberta,CA,,,US,"[wwe, sta, nwa, wcw]",1954,12,28,,,,m
Larry Cameron,Chicago,Illinois,US,Bremen,,DE,[sta],1952,11,4,1993,12,13,m
Larry Hennig,Minneapolis,Minnesota,US,,,US,"[wwe, sta, awa]",1936,6,18,,,,m
Larry Sharpe,Paulsboro,New Jersey,US,,,US,[sta],1950,6,26,,,,m
Larry Winters,Philadelphia,Pennsylvania,US,Philadelphia,Pennsylvania,US,"[sta, ecw, nwa]",1956,4,14,2015,1,27,m
Larry Zbyszko,Chicago,Illinois,US,,,US,"[wwe, nwa, awa]",1951,12,5,,,,m
Lars Anderson,,,US,,,US,"[nwa, awa]",1939,3,14,,,,m
Lauren C. Mayhew,Tampa,Florida,US,,,,[wwe],1988,11,27,,,,f
Layla El,London,England,GB,,,,[wwe],1977,6,25,,,,f
Leilani Kai,Tampa,Florida,US,,,US,"[wwe, nwa]",1960,1,23,,,,f
Len Denton,Dallas,Texas,US,,,,"[sta, nwa]",1958,8,25,,,,m
Lena Yada,Honolulu,Hawaii,US,,,US,[wwe],1978,11,12,,,,f
Lenny Lane,Duluth,Minnesota,US,,,,"[ecw, wcw]",1970,10,16,,,,m
Lenny Montana,Brooklyn,New York,US,Lindenhurst,New York,US,[nwa],1926,3,13,1992,5,12,m
Leo Burke,Dorchester,New Brunswick,CA,,,US,"[sta, nwa]",1948,6,29,,,,m
Leo Nomellini,Lucca,Tuscany,IT,Stanford,California,US,[nwa],1924,6,19,2000,10,17,m
Leroy Brown,Savannah,Georgia,US,Savannah,Georgia,US,[nwa],1950,11,30,1988,9,6,m
Leroy McGuirk,Garvin,Oklahoma,US,Claremore,Oklahoma,US,[nwa],1910,12,13,1988,9,9,m
Les Thatcher,Cincinnati,Ohio,US,,,,"[sta, nwa]",1940,10,28,,,,m
Les Thornton,Manchester,England,GB,,,US,"[sta, nwa]",1934,4,9,,,,m
Lester Speight,Baltimore,Maryland,US,,,US,[ecw],1963,1,7,,,,m
Leva Bates,Madisonville,Kentucky,US,,,,[tna],1983,5,21,,,,f
Lex Lovett,,,US,,,US,[tna],1975,7,24,,,,m
Lex Luger,Buffalo,New York,US,,,,"[wwe, wcw]",1958,6,2,,,,m
Linda Miles,Cincinnati,Ohio,US,,,US,[wwe],1978,8,28,,,,f
Lioness Asuka,Tokyo,,JP,,,US,[wwe],1963,7,28,,,,f
Lisa Marie Varon,San Bernardino,California,US,,,,"[wwe, tna]",1971,2,10,,,,f
Lita,Fort Lauderdale,Florida,US,,,,[wwe],1975,4,14,,,,f
Little Beaver,Saint-Jérôme,Quebec,CA,,,,"[sta, nwa]",1935,1,1,1995,12,4,m
Liv Morgan,Paramus,New Jersey,US,,,,[wwe],1994,6,8,,,,f
Lizmark Jr.,Acapulco,Guerrero,MX,,,US,[wcw],1972,10,16,,,,m
Lloyd Anoaʻi,Allentown,Pennsylvania,US,,,,"[ecw, wwe]",1970,5,7,,,,m
Lodi,Asheboro,England,GB,,,,[wcw],1970,9,8,,,,m
Lollipop,Nashville,Tennessee,US,,,,[tna],1979,3,17,,,,f
Lord Alfred Hayes,London,England,GB,Dallas,Texas,US,"[wwe, nwa]",1928,8,8,2005,7,21,m
Lord James Blears,Tyldesley,England,GB,Honolulu,Hawaii,US,[awa],1923,8,13,2016,3,3,m
Lord Littlebrook,England,,GB,,,,[wwe],1929,1,3,,,,m
Lorelei Lee,Sewickley Hills,Pennsylvania,US,,,,[tna],1982,6,22,,,,f
Lost Boy Wolfe,,,US,,,US,[ecw],1972,6,30,2011,2,2,m
Lost Boy Yar,,,US,,,,[ecw],,,,,,,m
Lou Albano,Rome,,IT,Westchester County,New York,US,[wwe],1933,7,29,2009,10,14,m
Lou D'Angeli,Philadelphia,Pennsylvania,US,,,,[wwe],1972,8,19,,,,m
Lou Marconi,Brooklyn,Ohio,US,,,US,[ecw],1973,6,19,,,,m
Lou Thesz,Banat,Michigan,US,Orlando,Florida,US,"[sta, sta, nwa]",1916,4,24,2002,4,28,m
Louie Spicolli,San Pedro,California,US,Los Angeles,California,US,"[wwe, ecw, wcw]",1971,2,10,1998,2,15,m
Low Ki,Brooklyn,New York,US,,,,"[wwe, tna]",1979,9,6,,,,m
Luc Poirier,Montreal,Quebec,CA,,,,[wwe],1962,1,9,,,,m
Lucky Cannon,New Iberia,Louisiana,US,,,,[wwe],1987,8,20,,,,m
Luke Brown,,,US,Washington,D.C.,US,[nwa],1935,7,28,1997,11,12,m
Luke Gallows,Cumberland,Maryland,US,,,US,[wwe],1983,12,22,,,,m
Luke Graham,Union Point,Georgia,US,,Georgia,US,"[wwe, sta, nwa]",1940,2,5,2006,6,23,m
Luke Harper,Rochester,New York,US,,,,[wwe],1979,12,16,,,,m
Luke Hawx,New Orleans,Louisiana,US,,,,"[tna, wwe]",1981,7,8,,,,m
Luke Williams,Wellington,Wellington Region,NZ,,,,"[wwe, ecw, tna]",1947,1,8,,,,m
Lumberjack Pierre,Montreal,Quebec,CA,,,,[wwe],1939,2,13,,,,m
Luna Vachon,Atlanta,Georgia,US,Pasco County,Florida,US,"[wwe, sta, ecw, wcw]",1962,1,12,2010,8,27,f
Luther Biggs,Pontiac,Michigan,US,,,,[tna],1967,1,17,,,,m
Luther Lindsay,Norfolk,Virginia,US,Charlotte,North Carolina,US,"[wwe, sta, nwa]",1924,12,30,1972,2,21,m
Luther Reigns,Danville,Illinois,US,,,,"[wwe, wcw]",1971,9,22,,,,m
Mack Jefferson,Anderson,South Carolina,US,,,,[wcw],,,,,,,m
Mad Maxine,,West Germany,DE,,,US,"[wwe, wwe]",1959,4,27,,,,m
Madison Rayne,Columbus,Ohio,US,,,,[tna],1986,2,5,,,,f
Madusa,Milan,Lombardy,IT,,,,"[wcw, wwe]",1964,2,9,,,,f
Mae Young,Sand Springs,Oklahoma,US,Columbia,South Carolina,US,"[wwe, sta, nwa]",1923,3,12,2014,1,14,f
Magno,El Paso,Texas,US,,,US,[tna],1984,8,17,,,,m
Magnum T.A.,Tidewater,Virginia,US,,,,[nwa],1959,6,11,,,,m
Magnum Tokyo,,,US,,,US,[wcw],1973,1,9,,,,m
Mahabali Shera,Ferozepur,Punjab,IN,,,,[tna],1990,10,17,,,,m
Malia Hosaka,Honolulu,Hawaii,US,,,US,"[wwe, ecw, tna, wcw]",1969,10,7,,,,f
Man Mountain Mike,,,US,South Berwick,Maine,US,[nwa],1940,9,15,1988,4,30,m
Manabu Nakanishi,Kyoto,Kyoto Prefecture,JP,,,,[wcw],1967,1,22,,,,m
Mandy Rose,Westchester County,New York,US,,,,[wwe],1991,7,18,,,,f
Manny Fernandez,El Paso,Texas,US,,,,[nwa],1954,7,27,,,,m
Mantaur,Omaha,Nebraska,US,,,,"[wwe, ecw]",1968,5,14,,,,m
Manuel Santiago,New York City,New York,US,,,,[ecw],1968,8,11,,,,m
Marc Mero,Buffalo,New York,US,,,,"[wwe, wcw]",1960,7,9,,,,m
Marco Corleone,Auburn,New York,US,,,,"[wcw, wwe]",1977,6,26,,,,m
Marcus Louis,Bordeaux,,FR,,,,[tna],1991,7,11,,,,m
María Dolores González,Ciudad Juarez,Chihuahua,MX,,,US,[sta],1959,3,2,,,,f
Maria Kanellis,Ottawa,Illinois,US,,,,"[wwe, tna]",1982,2,25,,,,f
Marianna Komlos,Vancouver,British Columbia,CA,,,,[wwe],1969,9,3,2004,9,26,f
Mark Andrews,Cardiff,Wales,GB,,,,[tna],1992,1,23,,,,m
Mark Briscoe,Laurel,Delaware,US,,,,[tna],1985,1,18,,,,m
Mark Henry,Silsbee,Texas,US,,,,[wwe],1971,6,12,,,,m
Mark Lewin,Buffalo,New York,US,,,,"[wwe, sta, nwa]",1937,3,16,,,,m
Mark Youngblood,Amarillo,Texas,US,,,US,[nwa],1963,7,21,,,,m
Marti Bell,New York City,New York,US,,,,[tna],1988,8,7,,,,f
Marty Garner,,North Carolina,US,,,US,[ecw],1967,5,2,,,,m
Marty Jannetty,Columbus,Georgia,US,,,,"[wwe, ecw, nwa, wcw]",1960,2,3,,,,m
Marty Jones,Oldham,England,GB,,,US,[sta],1945,9,26,,,,m
Marty Scurll,Ely,England,GB,,,US,[tna],1988,7,26,,,,m
Maryse Ouellet,Montreal,Quebec,CA,,,US,[wwe],1983,1,21,,,,f
Masa Saito,Tokyo,,JP,,,US,"[wwe, awa, wcw]",1942,2,1,,,,m
Masada,Waco,Texas,US,,,,[tna],1981,6,16,,,,m
Masahiro Chono,Seattle,Washington,US,,,,"[nwa, wcw]",1963,9,17,,,,m
Masao Inoue,Chūō,Yamanashi,JP,,,,[tna],1970,3,6,,,,m
Masato Tanaka,Wakayama,Wakayama,JP,,,US,[ecw],1973,2,28,,,,m
Masato Yoshino,Higashiōsaka,Osaka,JP,,,US,[tna],1980,7,17,,,,m
Masayoshi Motegi,Tokyo,,JP,,,US,[ecw],1962,11,24,,,,m
Mascarita Dorada,Guadalajara,Jalisco,MX,,,US,[wwe],1982,2,19,,,,m
Mascarita Sagrada,San Felipe Pescador,Zacatecas,JP,,,US,"[wwe, wcw]",1965,1,11,,,,m
Mason Ryan,Tremadog,Wales,GB,,,,[wwe],1982,1,13,,,,m
Matt Bentley,Clinton,Iowa,US,,,US,"[ecw, tna]",1979,12,10,,,,m
Matt Bloom,Peabody,Massachusetts,US,,,,[wwe],1972,11,14,,,,m
Matt Cappotelli,Caledonia,New York,US,,,US,[wwe],1979,11,12,,,,m
Matt Hardy,Cameron,North Carolina,US,,,,"[wwe, tna]",1974,9,23,,,,m
Matt Jackson,Montebello,California,US,,,,"[wwe, tna]",1985,3,13,,,,m
Matt Morgan,Fairfield,Connecticut,US,,,,[wwe],1976,9,10,,,,m
Matt Osborne,Charlotte,North Carolina,US,Plano,Texas,US,"[wwe, ecw, wcw]",1957,7,27,2013,6,28,m
Matt Striker,Queens,New York,US,,,,[wwe],1974,6,26,,,,m
Matt Sydal,St. Louis,Missouri,US,,,,"[tna, wwe]",1983,3,19,,,,m
Maurice Catarcio,Ocean City,New Jersey,US,Del Haven,New Jersey,US,[wwe],1929,3,21,2005,5,12,m
Maurice Vachon,Montreal,Quebec,CA,Omaha,Nebraska,US,"[sta, awa]",1929,9,1,2013,11,21,m
Maven Huffman,Crimora,Virginia,US,,,,[wwe],1976,11,26,,,,m
Maxine,Tampa,Florida,US,,,,[wwe],1986,4,19,,,,f
Maxx Payne,Salt Lake City,Utah,US,,,,[wwe],1961,10,3,,,,m
Meiko Satomura,Niigata,Niigata,JP,,,US,[wcw],1979,11,17,,,,f
Melina Perez,Los Angeles,California,US,,,US,[wwe],1979,3,9,,,,f
Men's Teioh,Shinjuku,Tokyo,JP,,,,"[wwe, ecw]",1966,12,16,,,,m
Mercedes Martinez,Waterbury,Connecticut,US,,,,[tna],1980,11,17,,,,f
Metal Maniac,North Plainfield,New Jersey,US,,,,[ecw],,,,,,,m
Michael DiBiase,New York City,New York,US,Lubbock,Texas,US,"[sta, nwa]",1923,12,24,1969,7,2,m
Michael Hayes,Washington,D.C.,US,,,,"[wwe, nwa, wcw]",1959,3,29,,,,m
Michael Tarver,Akron,Ohio,US,,,,[wwe],1977,3,8,,,,m
Michel Martel,Quebec City,Quebec,CA,Ponce,,PR,[sta],1944,10,1,1978,6,30,m
Michelle McCool,Palatka,Florida,US,,,,[wwe],1980,1,25,,,,f
Mick Foley,Bloomington,Indiana,US,,,,"[wwe, wwe, ecw, wcw]",1965,6,7,,,,m
Mickey Keegan,Framingham,Massachusetts,US,,,US,[wwe],1986,2,15,,,,m
Mickie James,Richmond,Virginia,US,,,US,"[wwe, tna]",1979,8,31,,,,f
Mickie Knuckles,Clarksville,Indiana,US,,,,[tna],1984,5,16,,,,m
Midnight,Kingston,,JM,,,US,[wcw],1965,9,12,,,,f
Mighty Igor,Dearborn,Michigan,US,Detroit,Michigan,US,[awa],1931,7,16,2002,1,7,m
Miguel Pérez,Santurce,,PR,,,,[sta],1937,6,22,2005,7,16,m
Miguel Pérez Jr.,,,US,,,US,"[ecw, wcw, wwe]",1966,4,22,,,,m
Mikael Judas,,,US,,,US,[tna],1974,7,25,,,,m
Mike Awesome,Tampa,Florida,US,Tampa,Florida,US,"[wwe, ecw, wcw]",1965,1,24,2007,2,17,m
Mike Bell,Poughkeepsie,New York,US,Costa Mesa,California,US,[ecw],1971,3,18,2008,12,14,m
Mike Bennett,Carver,Massachusetts,US,,,US,[tna],1985,5,16,,,,m
Mike Bucci,Toms River,New Jersey,US,,,,"[wwe, ecw]",1972,6,5,,,,m
Mike Enos,,,US,,,,"[wwe, wcw]",1963,6,11,,,,m
Mike George,Saint Joseph,Missouri.,US,,,US,[nwa],1950,,,,,,m
Mike Knox,San Bernardino,California,US,,,,[wwe],1978,7,17,,,,m
Mike Kruel,Brooklyn,New York,US,,,US,[wwe],1982,10,22,,,,m
Mike Mazurki,Kupchyntsi,Kozova Raion,UA,Glendale,California,US,"[sta, nwa]",1907,12,25,1990,12,9,m
Mike McGuirk,Tulsa,Oklahoma,US,,,,[wwe],1955,3,16,,,,m
Mike Mondo,Gordon Heights,New York,US,,,,[wwe],1983,3,26,,,,m
Mike Polchlopek,Titusville,Florida,US,,,,[wwe],1963,12,27,,,,m
Mike Rapada,Merced,California,US,,,US,"[tna, wcw]",1964,8,28,,,,m
Mike Rotunda,St. Petersburg,Florida,US,,,,"[wwe, wcw]",1958,3,30,,,,m
Mike Sanders,Smyrna,Georgia,US,,,,"[tna, wcw]",1969,7,20,,,,m
Mike Shane,Galesburg,Illinois,US,,,,"[nwa, tna, wwe]",1967,12,21,,,,m
Mike Sharpe,Hamilton,Ontario,CA,Hamilton,Ontario,CA,"[wwe, sta, nwa]",1949,10,28,2016,1,17,m
Mike Shaw,Skandia Township,Michigan,US,Marquette,Michigan,US,"[wwe, sta]",1957,6,9,2010,9,11,m
Mikel Scicluna,Balzan,,MT,Pittsburgh,Pennsylvania,US,"[wwe, sta, nwa]",1929,7,29,2010,3,20,m
Mikey Batts,New Haven,Connecticut,US,,,US,"[tna, wwe]",1983,10,3,,,,m
Mikey Whipwreck,Long Island,New York,US,,,US,"[wwe, ecw, wcw]",1973,6,4,,,,m
Mil Máscaras,San Luis Potosí,San Luis Potosí,MX,,,,[wwe],1942,7,15,,,,m
Milano Collection A.T.,Morioka,Iwate Prefecture,JP,,,,[tna],1976,8,27,,,,m
Mildred Burke,Coffeyville,Kansas,US,Los Angeles,California,US,[nwa],1915,8,5,1989,2,18,f
Minoru Tanaka,Komaki,Aichi,JP,,,,[tna],1972,11,29,,,,m
Miss Elizabeth,Frankfort,Kentucky,US,Marietta,Georgia,US,"[wwe, wcw]",1960,11,19,2003,5,1,f
Místico,Mexico City,Mexican Federal District,MX,,,,[wwe],1982,12,22,,,,m
Mitsu Arakawa,Honolulu,Hawaii,US,Concord,California,US,[awa],1927,5,23,1997,4,27,m
Mo,Harlem,New York,US,,,,[wwe],1964,4,13,,,,m
Mojo Rawley,Alexandria,Virginia,US,,,,[wwe],1986,7,17,,,,m
Molly Holly,Forest Lake,Minnesota,US,,,,[wwe],1977,9,7,,,,m
Montel Vontavious Porter,Miami,Florida,US,,,,"[wwe, tna]",1973,10,28,,,,m
Monty Brown,Detroit,Michigan,US,,,,[wwe],1970,4,13,,,,m
Moondog King,St. John's,Newfoundland and Labrador,CA,St. John's,Newfoundland and Labrador,CA,[wwe],1949,5,18,2005,8,25,m
Moondog Spike,,,US,,,,[wwe],1950,5,31,2013,3,21,m
Moondog Spot,,Louisiana,US,Memphis,Tennessee,US,"[wwe, nwa, tna]",1952,1,6,2003,11,29,m
Mortimer Plumtree,Minneapolis,Minnesota,US,,,,[tna],1969,,,,,,m
Mosh,Cherry Hill,New Jersey,US,,,,"[wwe, ecw]",1971,5,28,,,,m
Mr. Águila,Guadalajara,Jalisco,MX,,,,"[ecw, tna, wwe]",1978,12,10,,,,m
Mr. Fuji,Honolulu,Hawaii,US,,,US,"[wwe, nwa]",1935,5,4,,,,m
Mr. Hito,Tennōji-ku,Osaka,JP,Osaka,,JP,"[sta, nwa]",1942,4,25,2010,4,21,m
Mr. Pogo,Isesaki,Gunma,JP,,,US,"[sta, nwa]",1951,2,5,,,,m
Mr. Wrestling,Utica,New York,US,Charlotte,North Carolina,US,"[nwa, sta]",1934,7,28,2002,11,30,m
Mr. Wrestling II,Charleston,South Carolina,US,,,,"[sta, nwa]",1934,9,10,,,,m
MsChif,St. Louis,Missouri,US,,,US,[tna],,6,11,,,,f
Muhammad Hassan,Syracuse,New York,US,,,US,[wwe],1981,11,7,,,,m
Murat Bosporus,Wolfratshausen,,DE,,,US,[tna],1979,12,16,,,,m
Mustafa Saed,Atlanta,Georgia,US,,,,[ecw],1966,5,6,,,,m
Naomi,Sanford,Florida,US,,,,[wwe],1987,11,30,,,,f
Naruki Doi,Ikoma,Nara,JP,,,,[tna],1980,10,4,,,,m
Natalya Neidhart,Calgary,Alberta,CA,,,US,[wwe],1982,5,27,,,,f
Nate Webb,Indianapolis,Indiana,US,,,,[tna],,,,,,,m
Nathan Jones,Gold Coast,Queensland,US,,,,[wwe],1970,8,21,,,,m
Negro Casas,Mexico City,,MX,,,US,[tna],1960,1,10,,,,m
New Jack,Greensboro,North Carolina,US,,,,"[ecw, tna]",1963,1,3,,,,m
Nia Jax,Honolulu,Hawaii,US,,,,[wwe],1984,5,29,,,,f
Nick Bockwinkel,St. Louis,Missouri,US,Las Vegas,Nevada,US,"[wwe, sta, nwa, awa]",1934,12,6,2015,11,14,m
Nick Dinsmore,Sioux Falls,South Dakota,US,,,,[wwe],1975,12,17,,,,m
Nick Jackson,Montebello,California,US,,,,"[wwe, tna]",1989,7,28,,,,m
Nick Miller,Perth,Western Australia,AU,,,,[wwe],1985,8,20,,,,m
Nick Mitchell,Magnolia,Texas,US,,,,[wwe],1982,11,9,,,,m
Nicole Bass,Middle Village,New York,US,,,,[wwe],1964,8,10,,,,f
Nicole Raczynski,Boston,Massachusetts,US,,,US,[tna],1979,4,19,,,,m
Nidia Guenard,Houston,Texas,US,,,US,"[wwe, tna]",1979,3,12,,,,f
Nightmare Danny Davis,Jackson,Tennessee,US,,,US,[sta],1952,6,30,,,,m
Nikita Koloff,Minneapolis,Minnesota,US,,,,"[nwa, awa, tna, wcw]",1959,3,9,,,,m
Nikki Bella,San Diego,California,US,,,,[wwe],1983,11,21,,,,f
Nikolai Volkoff,,,HR,,,US,"[wwe, sta, ecw]",1947,10,14,,,,m
No Way Jose,Santo Domingo,República Dominicana,DR,,,,[wwe],1988,5,30,,,,m
Nobuhiko Takada,Isogo-ku,Yokohama,JP,,,US,[sta],1962,4,12,,,,m
Nobukazu Hirai,Meguro,Tokyo,JP,,,US,[tna],1969,12,30,,,,m
Noriyo Tateno,Ashikaga,Tochigi,JP,,,,[wwe],1965,12,1,,,,m
Norman Frederick Charles III,Sydney,New South Wales,AU,,,US,[sta],1936,,,,,,m
Norman Smiley,Northampton,England,GB,,,,"[wwe, ecw, wcw]",1965,2,28,,,,m
ODB,Nashville,Tennessee,US,,,US,[tna],1978,6,6,,,,f
Ole Anderson,Minneapolis,Minnesota,US,,,,"[nwa, wcw]",1942,9,22,,,,m
Omar Atlas,Caracas,,VE,,,US,"[sta, nwa]",1938,4,22,,,,m
One Man Gang,Spartanburg,South Carolina,US,,,,"[wwe, ecw, nwa, wcw]",1960,2,12,,,,m
Onyx,Queens,New York,US,,,US,[tna],,,,,,,m
Orlando Jordan,Salem,New Jersey,US,,,US,[wwe],1974,4,21,,,,m
Orville Brown,Sharon,Kansas,US,Lee's Summit,Missouri,US,"[sta, nwa]",1908,3,10,1981,1,24,m
Osamu Nishimura,,Tokyo,JP,,,,[ecw],1971,9,23,,,,m
Otto Schwanz,Raleigh,North Carolina,US,,,US,[ecw],1972,10,4,,,,m
Outback Jack,Victoria,,AU,,,,"[wwe, sta]",1958,2,12,,,,m
Owen Hart,Calgary,Alberta,CA,Kansas City,Missouri,US,"[wwe, sta, wcw]",1965,5,7,1999,5,23,m
Ox Baker,Sedalia,Missouri,US,Hartford,Connecticut,US,"[wwe, sta, nwa, awa, awa]",1934,4,19,2014,10,20,m
P.N. News,Omaha,Nebraska,US,,,,"[ecw, wcw]",1966,7,9,,,,m
Pablo Márquez,Quito,,EC,,,,[ecw],1973,6,4,,,,m
Paige,Norwich,Norfolk,US,,,,[wwe],1992,8,17,,,,f
Pat Barrett,Dublin,,IE,,,,[wwe],1941,9,4,,,,m
Pat O'Connor,Raetihi,,NZ,,,,"[sta, nwa]",1924,8,22,1990,8,16,m
Pat Patterson,Montreal,Quebec,CA,,,,"[wwe, nwa]",1941,1,19,,,,m
Pat Tanaka,Honolulu,Hawaii,US,,,,"[wwe, ecw, wcw]",1961,8,5,,,,m
Paul Burchill,Guildford,England,GB,,,,[wwe],1979,10,8,,,,m
Paul Christy,Chicago,Illinois,US,,,US,"[nwa, awa]",1939,3,20,,,,m
Paul Diamond,Zagreb,,YO,,,US,"[wwe, ecw]",1961,5,11,,,,m
Paul Ellering,Melrose,Minnesota,US,,,,"[wwe, wwe, nwa]",1953,8,22,,,,m
Paul Jones,Port Arthur,Texas,US,,,US,[nwa],1942,6,16,,,,m
Paul London,Austin,Texas,US,,,,"[wwe, tna]",1980,4,16,,,,m
Paul Orndorff,Brandon,Florida,US,,,,"[wwe, nwa, wcw]",1949,10,29,,,,m
Paul Roma,Kensington,New York,US,,,,"[wwe, wcw]",1960,4,29,,,,m
Paul Vachon,Montreal,Quebec,CA,,,US,"[sta, nwa, awa]",1938,5,14,,,,m
Paul Varelans,Sunnyvale,California,US,,,US,[ecw],1969,9,17,,,,m
Pedro Morales,Culebra,,PR,,,,"[wwe, sta, nwa]",1942,10,22,,,,m
Peggy Lee Leather,Reynolds,Georgia,US,,,,"[wwe, sta, nwa]",1959,1,19,,,,f
Penny Banner,St. Louis,Missouri,US,,,US,"[sta, nwa, awa]",1934,8,11,2008,5,12,f
Pepper Gomez,Los Angeles,California,US,San Francisco,California,US,[awa],1927,4,21,2004,5,6,m
Pepper Parks,Buffalo,New York,US,,,,[tna],1980,6,2,,,,m
Percy Watson,Leland,North Carolina,US,,,US,[wwe],1981,8,19,,,,m
Perry Saturn,Cleveland,Ohio,US,,,,"[wwe, ecw, tna, wcw]",1966,10,25,,,,m
Pete Gas,Greenwich,Connecticut,US,,,,[wwe],1970,5,29,,,,m
Petey Williams,Windsor,Ontario,CA,,,,[tna],1981,8,26,,,,m
Pez Whatley,Chattanooga,Tennessee,US,Chattanooga,Tennessee,US,"[wwe, nwa, wcw]",1951,1,10,2005,1,18,m
Philip Lafond,Mantouage,Ontario,CA,,,,"[wwe, sta, ecw]",1961,9,16,,,,m
Pierre Lefebvre,Charlemagne,Quebec,CA,Quebec City,Quebec,US,[nwa],1955,2,24,1985,12,24,m
Porkchop Cash,Memphis,Tennessee,US,,,,[nwa],1955,10,22,,,,m
Portia Perez,Brockville,Ontario,CA,,,,[tna],1987,10,26,,,,m
Precious,North Bay,Ontario,CA,,,US,"[awa, nwa, wcw]",1955,1,1,,,,m
Primo,San Juan,,PR,,,,[wwe],1982,12,21,,,,m
Primo Carnera,Sequals,,IT,Sequals,,IT,"[sta, nwa]",1906,10,26,1967,6,29,m
Prince Iaukea,Honolulu,Hawaii,US,,,US,[wcw],1964,8,1,,,,m
Professor Tanaka,Honolulu,Hawaii,US,,,US,[wwe],1930,1,6,2000,8,22,m
Psicosis,Tijuana,Baja California,MX,,,US,"[wwe, ecw, wcw]",1971,5,19,,,,m
R-Truth,Atlanta,Georgia,US,,,,"[wwe, tna]",1972,1,19,,,,m
Radomir Petković,Belgrade,,RS,,,US,[wwe],1986,11,26,,,,m
Rafael Halperin,Vienna,,AT,Bnei Brak,,IL,[wwe],1924,,,2011,8,20,m
Randy Colley,Alexander City,Alabama,US,,,US,"[sta, wcw, wwe]",1950,5,2,,,,m
Randy Orton,Knoxville,Tennessee,US,,,,[wwe],1980,4,1,,,,m
