name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Dick Rosenthal,,,US,,,,1933,1,20,,,
Jack Stephens,,,US,,,,1933,5,18,2011,8,31
Rich Eichorst,,,US,,,,1933,10,21,,,
Tony Windis,,,US,,,,1933,1,27,,,
Bob Burrow,Malvern,Arkansas,US,,,,1934,7,29,,,
Elgin Baylor,Washington,D.C.,US,,,,1934,9,16,,,
Ron Sobieszczyk,Chicago,Illinois,US,Chicago,Illinois,US,1934,8,21,2009,10,24
Steve Hamilton,Columbia,Kentucky,US,Morehead,Kentucky,US,1934,11,30,1997,12,2
Bob DeWeese,Louisville,Kentucky,US,,,,1934,11,8,,,
Dan Swartz,Owingsville,Kentucky,US,,,,1934,12,23,1997,4,3
Jerry Bird,Corbin,Kentucky,US,,,,1934,2,3,,,
Phil Rollins,Wickliffe,Kentucky,US,,,,1934,1,19,,,
Woody Sauldsberry,Winnsboro,Louisiana,US,Baltimore,Maryland,US,1934,7,11,2007,9,3
Bob Hopkins,Jonesboro,Louisiana,US,Bellevue,Washington,US,1934,11,3,2015,5,15
Bill Russell,Monroe,Louisiana,US,,,,1934,2,12,,,
Tommy Heinsohn,Jersey City,New Jersey,US,,,,1934,8,26,,,
Johnny McCarthy,Buffalo,New York,US,,,,1934,4,25,,,
Dave Piontek,Bethel Park,Pennsylvania,US,Scottsdale,Arizona,US,1934,8,27,2004,5,12
Jack Twyman,Pittsburgh,Pennsylvania,US,Cincinnati,Ohio,US,1934,5,21,2012,5,30
Willie Naulls,Dallas,Texas,US,,,,1934,10,7,,,
Hot Rod Hundley,Charleston,West Virginia,US,Phoenix,Arizona,US,1934,10,26,2015,3,27
Joe Holup,,,US,Rexford,New York,US,1934,2,26,1998,1,28
Jim Ray,,,US,,,,1934,1,12,,,
Jack Sullivan,Washington,D.C.,US,Baltimore,Maryland,US,1935,7,27,2010,9,16
George Bon Salle,Chicago,Illinois,US,South Miami,Florida,US,1935,7,1,2015,7,20
Larry Friend,Chicago,Illinois,US,,,,1935,4,14,1998,2,27
Nick Mantis,East Chicago,Indiana,US,,,,1935,12,7,,,
Charlie Tyra,Louisville,Kentucky,US,Louisville,Kentucky,US,1935,12,16,2006,12,29
Jim Krebs,Webster Groves,Missouri,US,Woodland Hills,California,US,1935,9,8,1965,5,6
Maurice King,Kansas City,Missouri,US,Kansas City,Missouri,US,1935,3,12,2007,9,17
Norm Stewart,Shelbyville,Missouri,US,,,,1935,1,20,,,
Ray Radziszewski,Jersey City,New Jersey,US,,,,1935,3,1,,,
Brendan McCann,Brooklyn,New York,US,,,,1935,7,5,,,
Guy Rodgers,Philadelphia,Pennsylvania,US,Los Angeles,California,US,1935,9,1,2001,2,19
Barney Cable,Rochester,Pennsylvania,US,,,,1935,7,29,,,
Hal Lear,Philadelphia,Pennsylvania,US,,,,1935,1,31,,,
Bill Ebben,,,US,,,,1935,10,7,,,
Bill Thieben,,,US,,,,1935,3,28,,,
Connie Rea,,,US,,,,1935,1,27,,,
George Brown,,,US,,,,1935,10,30,,,
Jerry Paulson,,,US,,,,1935,7,21,1986,3,6
Gary Alcorn,Fresno,California,US,Fresno,California,US,1936,10,8,2006,11,29
Ben Warley,Washington,D.C.,US,Philadelphia,Pennsylvania,US,1936,9,4,2002,4,5
Don Ohl,Murphysboro,Illinois,US,,,,1936,4,18,,,
Shellie McMillon,Chicago,Illinois,US,,,,1936,3,11,1980,7,11
Tom Hawkins,Chicago,Illinois,US,,,,1936,12,22,,,
Dick Barnett,Gary,Indiana,US,,,,1936,10,2,,,
Jack Parr,Louisville,Kentucky,US,Lindsborg,Kansas,US,1936,3,13,2015,1,4
Larry Staverman,Newport,Kentucky,US,Edgewood,Kentucky,US,1936,10,11,2007,7,12
Adrian Smith,Farmington,Kentucky,US,,,,1936,10,5,,,
Donnie Butcher,Williamsport,Kentucky,US,,,,1936,2,6,2012,10,8
Johnny Cox,Fleming-Neon,Kentucky,US,,,,1936,11,1,,,
Vernon Hatton,Owingsville,Kentucky,US,,,,1936,1,13,,,
Archie Dees,Ethel,Mississippi,US,Bloomington,Indiana,US,1936,2,22,2016,4,4
Al Attles,Newark,New Jersey,US,,,,1936,11,7,,,
Stacey Arceneaux,New York City,New York,US,,Florida,US,1936,2,17,2015,3,4
Pete Brennan,Brooklyn,New York,US,Durham,North Carolina,US,1936,9,23,2012,6,8
Connie Dierking,Brooklyn,New York,US,Cincinnati,Ohio,US,1936,10,2,2013,12,29
Tommy Kearns,New York City,New York,US,,,,1936,10,6,,,
Joe Roberts,Columbus,Ohio,US,,,,1936,5,18,,,
Hub Reed,Harrah,Oklahoma,US,,,,1936,10,4,,,
Mike Farmer,Oklahoma City,Oklahoma,US,,,,1936,9,26,,,
Wilt Chamberlain,Philadelphia,Pennsylvania,US,Bel Air,California,US,1936,8,21,1999,10,12
Hal Greer,Huntington,West Virginia,US,,,,1936,6,26,,,
Boo Ellis,,,US,Indianapolis,Indiana,US,1936,2,11,2010,5,6
George C. Lee,,,US,,,,1936,11,23,,,
Wayne Stevens,,,US,,,,1936,6,19,,,
Willie Jones,,,US,,,,1936,6,29,,,
Cal Ramsey,Selma,Alabama,US,,,,1937,7,13,,,
Wayne Yates,North Little Rock,Arkansas,US,,,,1937,11,7,,,
Bob Ferry,St. Louis,Missouri,US,,,,1937,5,31,,,
Bob Boozer,Omaha,Nebraska,US,Omaha,Nebraska,US,1937,4,26,2012,5,19
Rudy LaRusso,Brooklyn,New York,US,Los Angeles,California,US,1937,11,11,2004,7,9
Lenny Wilkens,Brooklyn,New York,US,,,,1937,10,28,,,
Jimmy Darrow,Akron,Ohio,US,Akron,Ohio,US,1937,9,25,1987,6,8
Wayne Embry,Springfield,Ohio,US,,,,1937,3,26,,,
Dave Gambee,Portland,Oregon,US,,,,1937,4,16,,,
Gene Guarilia,Duryea,Pennsylvania,US,,,,1937,9,13,,,
Horace Walker,Chester,Pennsylvania,US,,,,1937,4,17,2001,6,7
John Richter,Philadelphia,Pennsylvania,US,,,,1937,3,12,1983,3,
Bailey Howell,Middleton,Tennessee,US,,,,1937,1,20,,,
Sam Stith,Greenville County,Virginia,US,,,,1937,7,22,,,
Bob Anderegg,Monroe,Wisconsin,US,,,,1937,8,24,,,
Bobby Smith,,,US,,,,1937,8,20,,,
Dave Gunther,,,US,,,,1937,7,22,,,
Gene Tormohlen,,,US,,,,1937,5,12,,,
Gene Wiley,,,US,,,,1937,11,12,,,
Joe Buckhalter,,,US,,,,1937,8,1,,,
Willis Thomas,,,US,,,,1937,,,,,
Fred LaCour,San Francisco,California,US,San Francisco,California,US,1938,2,7,1972,8,5
Darrall Imhoff,San Gabriel,California,US,,,,1938,10,11,,,
Charles Hardnett,Atlanta,Georgia,US,,,,1938,9,13,,,
Em Bryant,Chicago,Illinois,US,,,,1938,11,4,,,
Howie Carl,Chicago,Illinois,US,,,,1938,6,7,2005,10,24
Joe Ruklick,Princeton,Illinois,US,,,,1938,8,3,,,
Ron Horn,Marion,Indiana,US,,,,1938,5,24,2002,10,5
John Barnhill,Sturgis,Kentucky,US,,,,1938,3,30,2013,11,11
Ralph Davis,Vanceburg,Kentucky,US,,,,1938,9,7,,,
Jackie Moreland,Minden,Louisiana,US,New Orleans,Louisiana,US,1938,3,11,1971,12,19
Tom Meschery,Harbin,Manchukuo,CL,,,,1938,10,26,,,
Ron Johnson,Hallock,Minnesota,US,St. Cloud,Minnesota,US,1938,7,20,2015,2,1
Mel Peterson,Thief River Falls,Minnesota,US,,,,1938,3,23,,,
Cleveland Buckner,Yazoo City,Mississippi,US,,,,1938,8,17,2006,10,5
Cleo Hill,Newark,New Jersey,US,Orange,New Jersey,US,1938,4,24,2015,8,10
Dave Budd,Woodbury,New Jersey,US,,,,1938,10,28,,,
Al Butler,Rochester,New York,US,,,,1938,7,9,2000,7,12
Doug Moe,Brooklyn,New York,US,,,,1938,9,21,,,
Leroy Wright,New York City,New York,US,,,,1938,5,6,,,
Satch Sanders,New York City,New York,US,,,,1938,11,8,,,
York Larese,New York City,New York,US,,,,1938,7,18,2016,2,6
Gus Johnson,Akron,Ohio,US,Akron,Ohio,US,1938,12,13,1987,4,29
Bill Kennedy,Philadelphia,Pennsylvania,US,,Florida,US,1938,5,17,2006,8,31
Bob McNeill,Philadelphia,Pennsylvania,US,,,,1938,10,22,,,
Ray Scott,Philadelphia,Pennsylvania,US,,,,1938,7,12,,,
Oscar Robertson,Charlotte,Tennessee,US,,,,1938,11,24,,,
Jay Arnette,Austin,Texas,US,,,,1938,12,19,,,
Jerry West,Chelyan,West Virginia,US,,,,1938,5,28,,,
Doug Kistler,,,US,Charlotte,North Carolina,US,1938,3,21,1980,2,29
Bob Sims,,,US,,,,1938,10,9,2006,3,21
Bob Sims,,,US,,,,1938,10,9,2006,3,21
Bob Wiesenhahn,,,US,,,,1938,12,22,,,
Frank Radovich,,,US,,,,1938,3,3,,,
Herschell Turner,,,US,,,,1938,3,29,,,
Howie Jolliff,,,US,,,,1938,7,20,,,
Paul Neumann,,,US,,,,1938,1,30,,,
Johnny Egan,Hartford,Connecticut,US,,,,1939,1,31,,,
Gary Phillips,Quincy,Illinois,US,,,,1939,12,7,,,
Lee Shaffer,Chicago,Illinois,US,,,,1939,2,23,,,
Orbie Bowling,Sandy Hook,Kentucky,US,,,,1939,3,31,,,
Tom Thacker,Covington,Kentucky,US,,,,1939,11,2,,,
Jack Foley,Worcester,Massachusetts,US,,,,1939,4,19,,,
Ed Burton,Muskegon Heights,Michigan,US,,,,1939,8,13,2012,5,28
Bevo Nordmann,St. Louis,Missouri,US,DeWitt,Michigan,US,1939,12,11,2015,8,24
George Blaney,Jersey City,New Jersey,US,,,,1939,11,12,,,
Bill Bridges,Hobbs,New Mexico,US,Santa Monica,California,US,1939,4,4,2015,9,25
Hank Whitney,Brooklyn,New York,US,,,,1939,4,28,,,
Walt Bellamy,New Bern,North Carolina,US,College Park,Georgia,US,1939,7,24,2013,11,2
Larry Siegfried,Shelby,Ohio,US,Cleveland,Ohio,US,1939,5,22,2010,10,14
Mel Nowell,Columbus,Ohio,US,,,,1939,12,27,,,
Zelmo Beaty,Hillister,Texas,US,Bellevue,Washington,US,1939,10,25,2013,8,27
Art Williams,Bonham,Texas,US,,,,1939,9,29,,,
Bill McGill,San Angelo,Texas,US,,,,1939,9,16,2014,7,11
Tom Stith,Greenville,Virginia,US,,,,1939,1,21,2010,6,13
Don Kojis,Milwaukee,Wisconsin,US,,,,1939,1,15,,,
Jack Turner,,,US,Newport,Kentucky,US,1939,6,5,2013,5,5
Bill Smith,,,US,,,,1939,4,26,,,
Chuck Osborne,,,US,,,,1939,1,21,1979,4,17
Dave Zeller,,,US,,,,1939,6,8,,,
George Patterson,,,US,,,,1939,11,26,2003,12,22
John Tresvant,,,US,,,,1939,11,6,,,
Ken Rohloff,,,US,,,,1939,4,18,,,
Larry Comley,,,US,,,,1939,8,17,2006,1,21
Ted Luckenbill,,,US,,,,1939,7,27,2012,6,24
Walt Simon,,,US,,,,1939,12,1,1997,10,10
Whitey Martin,,,US,,,,1939,4,11,,,
Eddie Miles,North Little Rock,Arkansas,US,,,,1940,7,5,,,
John Rudometkin,Santa Maria,California,US,Newcastle,California,US,1940,6,6,2015,8,4
Joe Strawder,Belle Glade,Florida,US,,,,1940,9,21,2005,8,25
Roger Strickland,Jacksonville,Florida,US,,,,1940,4,9,2011,2,2
Chico Vaughn,Hodges Park,Illinois,US,,,,1940,2,19,2013,10,25
Porter Meriwether,Evansville,Indiana,US,Chicago,Illinois,US,1940,3,16,2009,11,13
Terry Dischinger,Terre Haute,Indiana,US,,,,1940,11,21,,,
Dan Tieman,,Kentucky,US,,,,1940,11,30,2012,10,30
Darel Carrier,Warren County,Kentucky,US,,,,1940,10,26,,,
Dave DeBusschere,Detroit,Michigan,US,New York City,New York,US,1940,10,16,2003,5,14
Don Nelson,Muskegon,Michigan,US,,,,1940,5,15,,,
Chet Walker,Bethlehem,Mississippi,US,,,,1940,2,22,,,
Tom Bowens,Okolona,Mississippi,US,,,,1940,7,7,,,
LeRoy Ellis,Far Rockaway,New York,US,Scappoose,Oregon,US,1940,3,10,2012,6,2
Bob Duffy,Cold Spring,New York,US,,,,1940,9,26,,,
Danny Doyle,Long Island City,New York,US,,,,1940,2,6,,,
Jerry Harkness,Harlem,New York,US,,,,1940,5,7,,,
Kevin Loughery,Brooklyn,New York,US,,,,1940,3,28,,,
Larry Brown,Brooklyn,New York,US,,,,1940,9,14,,,
Mel Gibson,Cordova,North Carolina,US,,,,1940,12,30,,,
Jerry Lucas,Middletown,Ohio,US,,,,1940,3,30,,,
John Havlicek,Martins Ferry,Ohio,US,,,,1940,4,8,,,
Calvin Fowler,Pittsburgh,Pennsylvania,US,Burlington,New Jersey,US,1940,2,11,2013,3,5
Wayne Hightower,Philadelphia,Pennsylvania,US,Philadelphia,Pennsylvania,US,1940,1,14,2002,4,18
Hubie White,Philadelphia,Pennsylvania,US,,,,1940,1,26,,,
Paul Hogue,Knoxville,Tennessee,US,Cincinnati,Ohio,US,1940,4,28,2009,8,17
Bruce Spraggins,Williamsburg,Virginia,US,,,,1940,,,,,
Bill Crow,,,US,,,,1940,12,9,,,
Bill Garner,,,US,,,,1940,,,,,
Bob Woollard,,,US,,,,1940,7,27,,,
Bobby Rascoe,,,US,,,,1940,7,22,,,
Bud Olsen,,,US,,,,1940,7,25,,,
Dave Fedor,,,US,,,,1940,12,10,,,
Howie Montgomery,,,US,,,,1940,8,22,,,
James Weldon,,,US,,,,1940,1,15,1998,8,2
John Windsor,,,US,,,,1940,4,3,,,
Jophn Postley,,,US,,,,1940,5,30,1970,7,
Ralph Wells,,,US,,,,1940,9,3,1968,8,2
Jim Barnes,Tuckerman,Arkansas,US,Silver Spring,Maryland,US,1941,4,13,2002,9,14
Archie Clark,Conway,Arkansas,US,,,,1941,7,15,,,
Jim King,Branch,Arkansas,US,,,,1941,2,7,,,
Harry Dinnel,Torrance,California,US,,,,1941,,,,,
John Thompson,Washington,D.C.,US,,,,1941,9,2,,,
Tom Hoover,Washington,D.C.,US,,,,1941,1,23,,,
Flynn Robinson,Elgin,Illinois,US,Los Angeles,California,US,1941,4,28,2013,5,23
Jeff Slade,Chicago Heights,Illinois,US,Sylvania,Ohio,US,1941,3,1,2012,2,11
Bobby Joe Edmonds,Indianapolis,Indiana,US,,,,1941,3,8,1991,11,12
Jim Davis,Muncie,Indiana,US,,,,1941,12,18,,,
Jimmy Rayl,Kokomo,Indiana,US,,,,1941,6,21,,,
Leland Mitchell,Kiln,Mississippi,US,Starkville,Mississippi,US,1941,2,22,2013,7,6
Ira Harge,Anguilla,Mississippi,US,,,,1941,3,14,,,
Jerry Greenspan,Newark,New Jersey,US,,,,1941,11,22,,,
Art Heyman,New York City,New York,US,Clermont,Florida,US,1941,6,24,2012,8,27
Freddie Crawford,New York City,New York,US,,,,1941,12,23,,,
Howard Komives,Toledo,Ohio,US,Toledo,Ohio,US,1941,5,9,2009,3,22
Nate Thurmond,Akron,Ohio,US,,,,1941,7,25,,,
Willie Murrell,Taft,Oklahoma,US,,,,1941,9,13,,,
Mel Counts,Coos Bay,Oregon,US,,,,1941,10,16,,,
Len Chappell,Portage,Pennsylvania,US,,,,1941,1,31,,,
Dave Stallworth,Dallas,Texas,US,,,,1941,12,20,,,
Joe Caldwell,Texas City,Texas,US,,,,1941,11,1,,,
Lucious Jackson,San Marcos,Texas,US,,,,1941,10,31,,,
Rod Thorn,Princeton,West Virginia,US,,,,1941,5,23,,,
Red Stroud,,,US,Jackson,Mississippi,US,1941,5,2,2008,3,22
Bill Bradley,,,US,,,,1941,6,16,2002,6,5
Bob Hogsett,,,US,,,,1941,1,29,1984,12,5
Gary Hill,,,US,,,,1941,10,7,2009,1,17
Gerry Ward,,,US,,,,1941,9,6,,,
Jay Carty,,,US,,,,1941,7,4,,,
Robert Warlick,,,US,,,,1941,3,20,2005,9,6
Tom Black,,,US,,,,1941,7,9,,,
Bob Netolicky,San Francisco,California,US,,,,1942,8,2,,,
Dave Lee,Modesto,California,US,,,,1942,3,31,,,
Fred Hetzel,Washington,D.C.,US,,,,1942,7,21,,,
Walt Hazzard,Wilmington,Delaware,US,Los Angeles,California,US,1942,4,15,2011,11,18
Al Beard,Fort Valley,Georgia,US,,,,1942,4,27,,,
Jerry Sloan,McLeansboro,Illinois,US,,,,1942,3,28,,,
Ron Bonham,Muncie,Indiana,US,,,,1942,5,31,2016,4,16
Ron Reed,LaPorte,Indiana,US,,,,1942,11,2,,,
Bob Love,Bastrop,Louisiana,US,,,,1942,12,8,,,
Cincy {owell,Baton Rouge,Louisiana,US,,,,1942,2,25,,,
Steve Jones,Alexandria,Louisiana,US,,,,1942,10,17,,,
Wilbert Frazier,Minden,Louisiana,US,,,,1942,8,24,,,
Willis Reed,Dubach,Louisiana,US,,,,1942,6,25,,,
Toby Kimball,Framingham,Massachusetts,US,,,,1942,9,7,,,
Bill Buntin,Detroit,Michigan,US,Detroit,Michigan,US,1942,5,5,1968,5,9
Reggie Harding,Detroit,Michigan,US,Detroit,Michigan,US,1942,5,4,1972,9,2
Maurice McHartley,Detroit,Michigan,US,,,,1942,8,1,,,
George Wilson,Meridian,Mississippi,US,,,,1942,5,9,,,
Roger Schurig,St. Louis,Missouri,US,,,,1942,4,3,,,
Cotton Nash,Jersey City,New Jersey,US,,,,1942,7,24,,,
George Lehmann,Riverside Township,New Jersey,US,,,,1942,5,1,,,
Gerald Govan,Jersey City,New Jersey,US,,,,1942,1,2,,,
Hank Finkel,Union City,New Jersey,US,,,,1942,4,20,,,
Roger Brown,Brooklyn,New York,US,Indianapolis,Indiana,US,1942,5,22,1997,3,4
Tony Jackson,Brooklyn,New York,US,Brooklyn,New York,US,1942,11,7,,,
Barry Kramer,Schenectady,New York,US,,,,1942,11,10,,,
Connie Hawkins,Brooklyn,New York,US,,,,1942,7,17,,,
Jeff Mullins,Queens,New York,US,,,,1942,3,18,,,
Happy Hairston,Winston-Salem,North Carolina,US,Los Angeles,California,US,1942,5,31,2001,5,1
Jesse Branson,Graham,North Carolina,US,Gibsonville,North Carolina,US,1942,1,7,2014,11,2
Willie Porter,Winston-Salem,North Carolina,US,,,,1942,7,3,,,
Larry Bergh,Williston,North Dakota,US,,,,1942,4,2,,,
Gary Bradds,Jamestown,Ohio,US,Greenville,Ohio,US,1942,7,26,1983,7,15
Art Becker,Akron,Ohio,US,,,,1942,1,12,,,
Larry Jones,Columbus,Ohio,US,,,,1942,9,22,,,
Bud Koper,Rocky,Oklahoma,US,,,,1942,8,9,,,
Bob Weiss,Easton,Pennsylvania,US,,,,1942,5,7,,,
Steve Courtin,Philadelphia,Pennsylvania,US,,,,1942,9,21,,,
Wali Jones,Philadelphia,Pennsylvania,US,,,,1942,2,14,,,
Willie Somerset,Sharon,Pennsylvania,US,,,,1942,3,17,,,
Levern Tart,Marion,South Carolina,US,,,,1942,6,1,2010,6,22
Les Hunter,Nashville,Tennessee,US,,,,1942,8,16,,,
McCoy McLemore,Houston,Texas,US,Houston,Texas,US,1942,4,3,2009,4,30
Elton McGriff,Corsicana,Texas,US,,,,1942,8,21,2011,12,16
Mike Dabich,Lander,Wyoming,US,,,,1942,12,27,,,
Bud Acton,,,US,,,,1942,1,11,,,
David Gaines,,,US,,,,1942,2,27,,,
Howard Bayne,,,US,,,,1942,7,28,,,
Walt Byrd,,,US,,,,1942,,,,,
Doug Sims,Elba,Alabama,US,,,,1943,6,29,,,
Thales McReynolds,Birmingham,Alabama,US,,,,1943,6,8,1988,7,3
Paul Silas,Prescott,Arkansas,US,,,,1943,7,12,,,
Gail Goodrich,Los Angeles,California,US,,,,1943,4,23,,,
Jeff Congdon,Garden Grove,California,US,,,,1943,10,17,,,
John Fairchild,Encinitas,California,US,,,,1943,4,28,,,
Charlie Williams,Colorado Springs,Colorado,US,,,,1943,9,5,,,
Dave Bing,Washington,D.C.,US,,,,1943,11,24,,,
Gene Littles,Washington,D.C.,US,,,,1943,6,29,,,
Jerry Chambers,Washington,D.C.,US,,,,1943,7,18,,,
Johnny Jones,Washington,D.C.,US,,,,1943,3,12,,,
Ron Watts,Washington,D.C.,US,,,,1943,5,21,,,
Rich Peek,Miami,Florida,US,Tyler,Texas,US,1943,10,28,2014,2,16
Jim Fox,Atlanta,Georgia,US,,,,1943,4,7,,,
Jim Jarvis,Caldwell,Idaho,US,,,,1943,3,3,,,
Wayne Molis,Chicago,Illinois,US,Hinsdale,Illinois,US,1943,4,17,2002,3,24
Julian Hammond,Chicago,Illinois,US,,,,1943,5,27,,,
Kendall Rhine,Eldorado,Illinois,US,,,,1943,2,13,,,
Lonnie Lynn,Chicago,Illinois,US,,,,1943,5,24,2014,9,12
Skip Thoren,Rockford,Illinois,US,,,,1943,4,5,,,
Dick Van Arsdale,Indianapolis,Indiana,US,,,,1943,2,22,,,
Jon McGlocklin,Franklin,Indiana,US,,,,1943,6,10,,,
Tom Van Arsdale,Indianapolis,Indiana,US,,,,1943,2,22,,,
Tommy Kron,Owensboro,Kentucky,US,Louisville,Kentucky,US,1943,2,28,2007,11,29
Clem Haskins,Campbellsville,Kentucky,US,,,,1943,7,11,,,
John Comeaux,Lafayette,Louisiana,US,,,,1943,9,15,,,
Don Dee,Booneville,Maryland,US,North Kansas City,Missouri,US,1943,8,9,2014,11,26
Neil Johnson,Jackson,Michigan,US,,,,1943,4,17,,,
Dan Anderson,Crookston,Minnesota,US,,,,1943,2,15,,,
Terry Kunze,Duluth,Minnesota,US,,,,1943,3,11,,,
Jay Miller,St. Louis,Missouri,US,Tempe,Arizona,US,1943,7,19,2001,4,5
Bill Bradley,Crystal City,Missouri,US,,,,1943,7,28,,,
Les Selvage,St. Louis,Missouri,US,,,,1943,3,7,1991,6,15
Spider Bennett,Lakewood Township,New Jersey,US,,,,1943,8,4,,,
Warren Davis,Atlantic City,New Jersey,US,,,,1943,6,30,,,
Billy Cunningham,Brooklyn,New York,US,,,,1943,6,3,,,
Dexter Westbrook,Mount Vernon,New York,US,,,,1943,,,,,
Jim Caldwell,Durham,North Carolina,US,,,,1943,1,28,,,
Al Jackson,Cleveland,Ohio,US,,,,1943,7,29,,,
Al Tucker,Dayton,Ohio,US,,,,1943,2,24,2001,5,7
Barry Clemens,Dayton,Ohio,US,,,,1943,5,1,,,
George Sutor,Philadelphia,Pennsylvania,US,,,,1943,9,14,2011,8,29
Jim Washington,Philadelphia,Pennsylvania,US,,,,1943,7,1,,,
Mike Butler,Memphis,Tennessee,US,,,,1943,10,1,,,
Tommy Woods,Blount County,Tennessee,US,,,,1943,6,10,,,
Nate Bowman,Fort Worth,Texas,US,New York City,New York,US,1943,3,19,1984,12,11
Dave Lattin,Houston,Texas,US,,,,1943,12,23,,,
Ron Perry,Garrisonville,Virginia,US,,,,1943,12,29,,,
Mike Barrett,Montgomery,West Virginia,US,Nashville,Tennessee,US,1943,9,5,2011,8,8
Freddie Lewis,Huntington,West Virginia,US,,,,1943,7,1,,,
Bill Dinwiddie,,,US,,,,1943,7,15,,,
Bill Meyer,,,US,,,,1943,8,30,,,
Dick Nemelka,,,US,,,,1943,10,1,,,
Dorie Murrey,,,US,,,,1943,9,7,,,
George Peeples,,,US,,,,1943,10,30,,,
Jerry Rook,,,US,,,,1943,10,27,,,
John Mathis,,,US,,,,1943,7,14,,,
Joseph Hamood,,,US,,,,1943,9,7,1970,8,19
Rich Parks,,,US,,,,1943,10,28,,,
Dennis Hamilton,Huntington Beach,California,US,Chandler,Arizona,US,1944,5,8,2012,6,18
Edgar Lacy,Los Angeles,California,US,West Sacramento,California,US,1944,8,2,2011,3,22
Bob Rule,Riverside,California,US,,,,1944,6,29,,,
Joe Ellis,Oakland,California,US,,,,1944,5,3,,,
John Block,Los Angeles,California,US,,,,1944,4,16,,,
Keith Erickson,San Francisco,California,US,,,,1944,4,19,,,
Paul Scranton,Los Angeles,California,US,,,,1944,4,30,,,
"Robert George ""Bob"" Bedell",Los Angeles,California,US,,,,1944,6,26,2015,6,14
John Austin,Washington,D.C.,US,,,,1944,8,31,,,
Stan McKenzie,Miami,Florida,US,,,,1944,10,6,,,
Ed Johnson,Atlanta,Georgia,US,,,,1944,6,17,2016,4,5
Cazzie Russell,Chicago,Illinois,US,,,,1944,6,7,,,
Donnie Freeman,Madison,Illinois,US,,,,1944,7,18,,,
"Marlbert Pradd, Jr.",Chicago,Illinois,US,,,,1944,11,17,2014,4,27
Ronald Kozlicki,Chicago,Illinois,US,,,,1944,12,12,,,
Dave Schellhase,Evansville,Indiana,US,,,,1944,10,14,,,
Louie Dampier,Indianapolis,Indiana,US,,,,1944,11,20,,,
Riney Lochmann,Wichita,Kansas,US,,,,1944,5,26,,,
Mike Silliman,Louisville,Kentucky,US,Louisville,Kentucky,US,1944,5,5,2000,6,16
Larry Conley,Ashland,Kentucky,US,,,,1944,1,22,,,
Paul Long,Louisville,Kentucky,US,,,,1944,2,8,,,
Sam Smith,Hazard,Kentucky,US,,,,1944,1,27,,,
Bill Hewitt,Cambridge,Massachusetts,US,,,,1944,8,8,,,
Mel Daniels,Detroit,Michigan,US,Sheridan,Indiana,US,1944,7,20,2015,10,30
Henry Akin,Detroit,Michigan,US,,,,1944,7,31,,,
Ken Wilburn,River Rouge,Michigan,US,,,,1944,6,8,,,
Tom Smith,Detroit,Michigan,US,,,,1944,9,8,,,
John Clawson,Duluth,Minnesota,US,,,,1944,5,15,,,
Ed Manning,Summit,Mississippi,US,Fort Worth,Texas,US,1944,1,2,2011,3,4
Jim Ware,Natchez,Mississippi,US,,,,1944,5,2,1986,,
John Smith,Columbus,Mississippi,US,,,,1944,5,24,,,
Matt Aitch,St. Louis,Missouri,US,Lansing,Michigan,US,1944,9,21,2007,4,4
Gary Keller,Elizabeth,New Jersey,US,,,,1944,6,13,,,
Rick Barry,Elizabeth,New Jersey,US,,,,1944,3,28,,,
Bob McIntyre,Bayside,New York,US,,,,1944,1,23,,,
George Carter,Buffalo,New York,US,,,,1944,1,10,,,
Steve Chubin,New York,New York,US,,,,1944,2,8,,,
Stew Johnson,New York,New York,US,,,,1944,8,19,,,
Lou Hudson,Greensboro,North Carolina,US,Atlanta,Georgia,US,1944,7,11,2014,4,11
Dick Clark,Findlay,Ohio,US,,,,1944,1,5,1988,9,4
Dick Snyder,North Canton,Ohio,US,,,,1944,2,1,,,
Bill Melchionni,Philadelphia,Pennsylvania,US,,,,1944,10,19,,,
Earl Monroe,Philadelphia,Pennsylvania,US,,,,1944,11,21,,,
Frank Card,[Philadelphia,Pennsylvania,US,,,,1944,12,28,,,
Jack Marin,Sharon,Pennsylvania,US,,,,1944,10,12,,,
Matt Guokas,Philadelphia,Pennsylvania,US,,,,1944,2,25,,,
Moe Barr,Pittsburgh,Pennsylvania,US,,,,1944,6,19,,,
Steve Vacendak,Scranton,Pennsylvania,US,,,,1944,8,15,,,
Jim Barnett,Greenville,South Carolina,US,,,,1944,7,7,,,
Clyde Lee,Nashville,Tennessee,US,,,,1944,3,14,,,
Carroll Hooser,Dallas,Texas,US,,,,1944,3,5,,,
Guy Manning,Oakwood,Texas,US,,,,1944,2,5,,,
John Beasley,Texarkana,Texas,US,,,,1944,2,5,,,
Rubin Russell,Fort Worth,Texas,US,,,,1944,11,7,,,
Jimmy Walker,Amherst,Virginia,US,Kansas City,Missouri,US,1944,4,8,2007,7,2
John Wetzel,Waynesboro,Virginia,US,,,,1944,10,22,,,
Tom Workman,Seattle,Washington,US,,,,1944,11,14,,,
Ron Williams,Weirton,West Virginia,US,San Jose,California,US,1944,9,24,2004,4,4
Red Robbins,,,US,Metairie,Louisiana,US,1944,9,30,2009,11,18
Bill Turner,,,US,,,,1944,2,18,,,
