name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Kleggie Hermsen,Hill City,Minnesota,US,,,,1923,3,12,1994,3,2
Kenny Rollins,Charleston,Missouri,US,Greencastle,Indiana,US,1923,9,14,2012,10,9
Tommy Byrnes,Teaneck,New Jersey,US,,,,1923,2,19,1981,1,9
Ray Lumpp,Brooklyn,New York,US,Mineola,New York,US,1923,7,11,2015,1,16
Aud Brindley,Mineola,New York,US,,,,1923,12,31,1958,11,19
Matt Mazza,Niagara Falls,New York,US,,,,1923,9,23,2003,9,11
Nat Militzok,New York,New York,US,,,,1923,5,3,2009,5,14
Paul Yesawich,New York City,New York,US,,,,1923,11,27,,,
Don Grate,Greenfield,Ohio,US,Miami Gardens,Florida,US,1923,8,27,2014,11,22
Dick Shrider,Glass Rock,Ohio,US,Somerville,Ohio,US,1923,2,7,2014,1,21
Bobby Lowther,Houston,Texas,US,Alexandria,Louisiana,US,1923,12,14,2015,3,23
Jim Spruill,Dublin,Texas,US,Boulder City,Nevada,US,1923,2,26,2006,1,8
Murray Mitchell,Huntsville,Texas,US,Portland,Texas,US,1923,3,19,2013,6,11
Ariel Maughan,Salt Lake City,Utah,US,,,,1923,2,23,1997,8,4
Fred Sheffield,Kaysville,Utah,US,,,,1923,11,5,2009,12,8
Wataru Misaka,Ogden,Utah,US,,,,1923,12,21,,,
Giff Roux,,,US,Alton,Illinois,US,1923,6,28,2011,8,19
Johnny Macknowski,,,RU,,,,1923,1,7,,,
Bill Downey,,,US,,,,1923,11,11,,,
Bob Brown,,,US,,,,1923,11,12,,,
Bob Fitzgerald,,,US,,,,1923,3,14,1983,7,23
Coulby Gunther,,,US,,,,1923,2,5,2005,7,14
Darrel Brown,,,US,,,,1923,3,14,1990,10,7
Dee Gibson,,,US,,,,1923,8,25,2003,4,8
Dick O&#39;Keefe,,,US,,,,1923,9,29,2006,12,17
Hank Lefkowitz,,,US,,,,1923,8,31,2007,4,21
Harold Brown,,,US,,,,1923,10,2,1980,9,1
Harry Miller,,,US,,,,1923,7,28,2007,4,18
Jim Riffey,,,US,,,,1923,12,14,,,
Leo Katkaveck,,,US,,,,1923,4,17,2006,5,6
Les Pugh,,,US,,,,1923,9,18,,,
Mike Todorovich,,,US,,,,1923,6,11,2000,6,24
Ralph Siewert,,,US,,,,1923,12,31,1990,11,21
John Simmons,Birmingham,Alabama,US,Farmingdale,New York,US,1924,7,7,2008,8,1
Bob Shea,Mystic,Connecticut,US,Hingham,Massachusetts,US,1924,9,11,2015,1,27
"John ""Hook"" Dillon",Savannah,Georgia,US,Winston-Salem,North Carolina,US,1924,1,8,2004,1,18
George Mikan,Joliet,Illinois,US,Scottsdale,Arizona,US,1924,6,18,2005,6,1
Walt Kirk,Mount Vernon,Illinois,US,Dubuque,Iowa,US,1924,9,3,2012,12,12
Jack Parkinson,Yorktown,Indiana,US,,,,1924,3,4,1997,5,29
Jack Coleman,Burgin,Kentucky,US,Burgin,Kentucky,US,1924,5,23,1998,12,11
Tex Ritter,Richmond,Kentucky,US,Letcher,Kentucky,US,1924,2,26,2004,10,15
Jack Tingle,Bedford,Kentucky,US,Louisville,Kentucky,US,1924,12,30,1958,9,22
Paul Noel,Midway,Kentucky,US,Versailles,Kentucky,US,1924,8,4,2005,11,16
Arnie Risen,Williamstown,Kentucky,US,Beachwood,Ohio,US,1924,10,9,2012,8,4
Bill Miller,Berea,Kentucky,US,,,,1924,11,24,,,
Leroy Chollet,New Orlean,Louisiana,US,,,,1924,3,5,1998,6,10
Ben Schadler,Benton Harbor,Michigan,US,Camas,Washington,US,1924,3,9,2015,1,30
Rollie Seltz,McIntosh,Minnesota,US,,,,1924,1,25,,,
Jack Hewson,Waldwick,New Jersey,US,Knoxville,Tennessee,US,1924,9,7,2012,6,26
Howie Janotta,Hackensack,New Jersey,US,San Antonio,Texas,US,1924,10,19,2010,11,22
Tom Kelly,New York,New York,US,Santa Barbara,California,US,1924,3,5,2008,3,20
Johnny Bach,Brooklyn,New York,US,Chicago,Illinois,US,1924,7,10,2016,1,18
Irv Noren,Jamestown,New York,US,,,,1924,11,29,,,
Red Dehnert,,New York,US,,,,1924,,,,,
Gino Sovran,Windsor,Ontario,CA,,,,1924,12,17,,,
Nelson Bobb,Philadelphia,Pennsylvania,US,Irvine,California,US,1924,2,25,2003,12,8
Ike Borsavage,Plymouth,Pennsylvania,US,Holland,Pennsylvania,US,1924,7,25,2014,1,10
Chuck Mrazovich,Ambridge,Pennsylvania,US,,,,1924,2,26,,,
Joe Colone,Berwick,Pennsylvania,US,,,,1924,1,23,2009,7,1
Ernie Calverley,Pawtucket,Rhode Island,US,Providence,Rhode Island,US,1924,1,30,2003,10,20
Jake Carter,Larue,Texas,US,Lubbock,Texas,US,1924,7,25,2012,4,17
Bill Henry,Dallas,Texas,US,,,,1924,12,27,1985,12,23
Marshall Hawkins,Huntington,West Virginia,US,Huntington,West Virginia,US,1924,8,3,2010,10,8
Ed Peterson,,,US,Syracuse,New York,US,1924,6,27,1984,3,20
Art Burris,,,US,,,,1924,4,7,1993,9,19
Bill Herman,,,US,,,,1924,5,17,2010,6,13
Chink Crossin,,,US,,,,1924,7,4,1981,1,10
Earl Dodd,,,US,,,,1924,1,11,2004,10,30
Frank Saul,,,US,,,,1924,2,16,,,
Fritz Nagy,,,US,,,,1924,1,3,1989,6,5
George Nostrand,,,US,,,,1924,1,25,1981,11,8
Jack Cotton,,,US,,,,1924,10,15,,,
Jack Eskridge,,,US,,,,1924,1,21,2013,2,11
Leo Barnhorst,,,US,,,,1924,5,11,2000,8,25
Lionel Malamed,,,US,,,,1924,11,15,1989,9,17
Phil Farbman,,,US,,,,1924,4,3,1996,9,15
Saul Mariaschin,,,US,,,,1924,9,1,1991,,
Stan Miasek,,,US,,,,1924,8,8,1989,10,18
Kevin O'Shea,San Francisco,California,US,Sonoma County,California,US,1925,7,10,2003,2,21
Jim Nolan,Macon,Georgia,US,,,,1925,6,9,1983,4,19
Jack Phelan,Chicago,Illinois,US,,,,1925,11,6,,,
,Norris City,Illinois,US,,,,1925,3,13,1998,1,8
"Murray Mendenhall, Jr.",Fort Wayne,Indiana,US,Fort Wayne,Indiana,US,1925,10,22,2014,2,7
Bob Evans,Indianapolis,Indiana,US,Southport,Indiana,US,1925,5,31,1997,9,27
Carl Shaeffer,Delphi,Indiana,US,,,,1925,10,25,1974,10,25
Bob Brannum,Winfield,Kansas,US,Marshfield,Massachusetts,US,1925,5,28,2005,2,5
Odie Spears,Scottsville,Kentucky,US,Louisville,Kentucky,US,1925,6,26,1985,3,28
Don Boven,Kalamazoo,Michigan,US,Kalamazoo,Michigan,US,1925,3,6,2011,3,10
Dillard Crocker,Niles,Michigan,US,Niles,Michigan,US,1925,1,19,2014,9,1
Connie Simmons,Newark,New Jersey,US,,,,1925,3,15,1989,4,15
Walt Budko,Brooklyn,New York,US,Timonium,Maryland,US,1925,7,30,2013,5,25
Frank Mangiapane,New York City,New York,US,Long Beach,New York,US,1925,8,5,2005,7,31
Joe Mullaney,Long Island,New York,US,Providence,Rhode Island,US,1925,11,17,2000,3,8
Max Zaslofsky,Brooklyn,New York,US,,,,1925,12,7,1985,10,15
Gene James,Ironton,Ohio,US,Sarasota,Florida,US,1925,2,15,1997,7,6
Dick Wehr,Caldwell,Ohio,US,Atlanta,Georgia,US,1925,12,9,2011,12,1
Mac Otten,Bellefontaine,Ohio,US,Centerville,Ohio,US,1925,12,16,2015,12,26
Fred Schaus,Newark,Ohio,US,Morgantown,West Virginia,US,1925,6,30,2010,2,10
Slater Martin,Elmina,Texas,US,Houston,Texas,US,1925,10,22,2012,10,18
Arnie Ferrin,Salt Lake City,Utah,US,,,,1925,7,29,,,
Vern Gardner,Afton,Wyoming,US,Ogden,Utah,US,1925,5,14,1987,8,26
John Pilch,Sheridan,Wyoming,US,,,,1925,7,11,1991,6,14
Whitey Kachan,,,US,Glenview,Illinois,US,1925,9,15,1993,3,7
Paul Hoffman,,,US,Baltimore,Maryland,US,1925,5,5,1998,11,12
Gerald Calabrese,,,US,Cliffside Park,New Jersey,US,1925,2,4,2015,4,13
Rookie Brown,,,US,Neptune City,New Jersey,US,1925,2,15,1971,5,22
Sid Tanenbaum,,,US,New York,New York,US,1925,10,8,1986,9,4
Al Guokas,,,US,,,,1925,8,7,1990,8,2
Andy O'Donnell,,,US,,,,1925,3,10,,,
Bill Brown,,,US,,,,1925,,,,,
Bill Roberts,,,US,,,,1925,3,3,2016,1,23
Bob Han,,,US,,,,1925,8,25,2009,7,28
Charlie Parsley,,,US,,,,1925,10,13,1997,10,1
Doug Holcomb,,,US,,,,1925,2,9,2008,2,3
Ed Mikan,,,US,,,,1925,10,20,1999,10,22
Edward Bartels,,,US,,,,1925,10,8,2007,11,4
Fran Curran,,,US,,,,1925,9,19,,,
Frank Kudelka,,,US,,,,1925,6,25,1993,5,4
Fred Paine,,,US,,,,1925,12,7,2004,10,26
Jack Kerris,,,US,,,,1925,1,30,1983,12,4
Jack Mccloskey,,,US,,,,1925,10,19,,,
Joe Holland,,,US,,,,1925,9,26,2010,9,18
Noble Jorgensen,,,US,,,,1925,5,18,1982,11,2
Paul Huston,,,US,,,,1925,6,2,1992,2,2
Red Owens,,,US,,,,1925,9,2,1988,10,11
Ron Livingstone,,,US,,,,1925,10,9,1991,8,26
Joe McNamee,San Francisco,California,US,,,,1926,9,24,2011,7,16
Bob Lavoy,Aurora,Illinois,US,Tampa,Florida,US,1926,6,29,2010,12,18
Jack Burmaster,Elgin,Illinois,US,Glenview,Illinois,US,1926,12,23,2005,9,27
Dick Dickey,Rigdon,Indiana,US,Indianapolis,Indiana,US,1926,10,26,2006,7,3
Bob Donham,Hammond,Indiana,US,Seattle,Washington,US,1926,10,11,1983,9,21
Mel Payton,Martinsville,Indiana,US,,,,1926,7,16,2001,5,12
Murray Wier,Grandview,Iowa,US,Georgetown,Texas,US,1926,12,12,2016,4,6
Wallace Jones,Harlan,Kentucky,US,Lexington,Kentucky,US,1926,7,14,2014,7,27
Mel McGaha,Bastrop,Louisiana,US,Tulsa,Oklahoma,US,1926,12,26,2002,2,3
Tony Lavelli,Somerville,Massachusetts,US,Laconia,New Hampshire,US,1926,7,11,1998,1,8
Myer Skoog,Duluth,Minnesota,US,,,,1926,11,2,,,
